Away,Home,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Coach W/L,Coach Team NCAA,Coach Team S16,Coach Team F4,Coach Team Champs,Coach C W/L,Coach C NCAA,Coach C S16,Coach C F4,Coach C Champs,OSRS,DSRS,DRtg,Score_Dif
Western Kentucky,Mississippi Valley State,0.16099999999999998,-5.369999999999999,-8.16,0.006000000000000005,28,-0.036999999999999894,0.0209999999999999,3,0,0,0,0,0,0,0,0.5069444444444444,0.4666666666666667,0.14832535885167458,-0.35546218487394965,0.939495798319328,2.323529411764706,4.7747899159663865,-1.5025210084033613,-2.974789915966386,0.633613445378151,-1.1058823529411765,1.5067226890756302,3.5050420168067227,-1.5310924369747898,-2.2445378151260504,2.510924369747899,1.5999999999999943,4.0,-0.08399999999999999,-0.015000000000000104,-0.005000000000000001,-1.4000000000000057,1.2999999999999972,5.000000000000002,-3.0999999999999996,-0.002999999999999999,-2.8999999999999986,-0.600000000000009,-0.047999999999999994,-0.19399999999999995,0.0,0.0,0.0,0.0,-0.19399999999999995,0.0,0.0,0.0,0,0.6199999999999999,-5.99,6.450000000000003,-1
Iona,Brigham Young,-0.015000000000000013,2.8900000000000006,3.37,9.71445146547012e-17,-42,-0.0020000000000000018,0.016999999999999897,0,0,0,0,0,0,0,0,-0.08333333333333337,-0.09659090909090917,-0.006060606060605989,-0.4008658008658009,-1.1774891774891776,-0.23549783549783543,-0.15151515151515138,1.2329004329004327,1.2813852813852815,1.7307359307359307,2.831168831168831,-1.6839826839826841,0.2961038961038964,2.7445887445887447,1.2008658008658006,-0.09956709956709953,1.5999999999999943,0.30000000000001137,0.0209999999999999,-0.020999999999999904,0.001000000000000098,4.200000000000003,-5.200000000000003,0.40000000000000036,7.4,-0.0039999999999998995,1.0999999999999996,4.800000000000001,0.0210000000000001,0.06000000000000005,5.0,1.0,0.0,0.0,0.06000000000000005,5.0,1.0,0.0,0,-3.620000000000001,6.5,-11.079999999999998,6
Vermont,Lamar,-0.010000000000000009,1.4300000000000002,1.4200000000000004,-0.0259999999999999,-21,-0.028999999999999998,-0.013000000000000005,1,0,0,0,0,0,0,0,-0.125,0.1428571428571428,-0.15441176470588241,-0.6857142857142857,-0.6325396825396825,0.023015873015872268,3.2444444444444445,2.3873015873015873,3.6277777777777773,2.8111111111111113,2.151587301587302,-2.45,2.4666666666666663,1.5174603174603174,-2.005555555555556,-0.34444444444444433,5.5,1.7999999999999972,0.03900000000000001,-0.022000000000000002,-0.027999999999999997,3.0,-10.699999999999994,3.499999999999999,4.6000000000000005,-0.035,-2.9999999999999982,4.399999999999999,0.021999999999999895,-0.010000000000000009,0.0,0.0,0.0,0.0,-0.16700000000000004,0.0,0.0,0.0,0,5.2,-3.76,0.14999999999999147,-12
South Florida,California,0.09499999999999997,4.59,-2.76,0.010000000000000099,-72,0.0179999999999999,0.0599999999999999,7,0,0,0,0,0,0,1,0.05555555555555558,0.06944444444444442,0.0699300699300699,-0.6045751633986928,-2.2254901960784315,1.7303921568627454,2.3643790849673207,3.714052287581699,3.7777777777777777,0.7369281045751634,1.0947712418300652,3.9460784313725488,1.0392156862745097,0.11928104575163401,-3.238562091503268,-2.2908496732026142,6.599999999999994,9.5,0.052,-0.051999999999999894,0.015,1.7999999999999972,12.4,1.9000000000000004,0.9999999999999991,0.0020000000000000018,-4.700000000000001,1.8999999999999986,0.05500000000000009,0.20700000000000002,2.0,0.0,0.0,0.0,0.16100000000000003,11.0,2.0,1.0,0,11.55,-6.949999999999999,0.6599999999999966,-11
New Mexico State,Indiana,0.028000000000000025,9.899999999999999,7.72,0.022000000000000103,57,0.078,0.068,1,1,0,0,0,0,1,5,-0.10317460317460314,0.1238390092879258,-0.1287878787878789,1.6111111111111112,1.583333333333333,0.7777777777777772,-0.5555555555555556,-2.1388888888888884,-5.805555555555555,-4.0,-5.305555555555555,2.6666666666666665,-1.0555555555555556,-2.0277777777777777,-0.7777777777777778,1.583333333333333,-3.799999999999997,2.3000000000000114,-0.09200000000000011,0.028000000000000108,0.0379999999999999,-7.60000000000001,9.5,-1.4000000000000004,-5.500000000000001,0.03699999999999999,-0.20000000000000284,-8.800000000000006,-0.028999999999999887,-0.177,-1.0,1.0,0.0,0.0,-0.01100000000000001,4.0,2.0,1.0,0,5.41,4.489999999999999,-2.509999999999991,13
Western Kentucky,Kentucky,0.49299999999999994,27.39,7.42,0.1519999999999998,-232,0.08,0.0599999999999999,20,0,0,0,1,0,1,8,0.5625,0.4666666666666667,0.6161616161616161,-0.7642857142857143,-6.292857142857143,7.175,-3.617857142857143,6.385714285714285,7.242857142857143,-1.917857142857143,6.575,3.5464285714285713,1.4285714285714286,5.332142857142857,-1.1607142857142856,-4.296428571428571,-2.0,29.899999999999995,0.14599999999999988,-0.0939999999999999,0.1499999999999999,9.599999999999994,0.19999999999999551,2.1000000000000014,13.600000000000001,0.14799999999999988,-1.1000000000000014,4.899999999999999,0.126,0.30000000000000004,2.0,3.0,2.0,1.0,0.20100000000000007,13.0,10.0,4.0,1,15.65,11.73,-13.819999999999993,15
UNC Asheville,Syracuse,0.21300000000000008,18.060000000000002,10.74,0.0440000000000001,-37,0.0279999999999999,-0.07699999999999999,4,0,0,1,0,0,0,1,0.05555555555555558,0.11764705882352944,0.2846153846153846,0.2694753577106519,-0.8998410174880762,4.085055643879173,3.7217806041335453,-4.767885532591415,-3.9316375198728135,-1.0985691573926863,-3.3370429252782188,-0.10095389507154229,2.100158982511924,4.748012718600954,-3.018282988871224,1.8585055643879174,-5.299999999999997,6.799999999999995,-0.092,-0.038,0.016000000000000097,-4.799999999999997,-10.0,3.4000000000000004,14.2,0.042,-3.799999999999997,-4.199999999999996,-0.09999999999999999,0.247,26.0,16.0,3.0,1.0,0.266,26.0,16.0,3.0,1,3.1800000000000006,14.89,-16.799999999999997,7
Loyola (MD),Ohio State,0.06800000000000006,23.58,11.790000000000001,0.07300000000000001,-143,0.030999999999999903,-0.019999999999999997,11,1,0,0,0,0,0,1,0.0,0.06140350877192979,-0.010695187165775444,-0.7762237762237763,-3.7505827505827507,5.0792540792540795,2.44988344988345,2.398601398601399,4.090909090909091,1.0466200466200468,5.314685314685315,3.748251748251749,0.7062937062937062,-0.37062937062937074,-2.3729603729603728,-2.463869463869464,1.6000000000000085,17.5,0.061000000000000096,-0.08399999999999991,0.055999999999999994,8.200000000000003,4.600000000000001,1.0,0.3000000000000016,0.0629999999999999,-3.5999999999999996,7.300000000000001,0.033000000000000106,0.275,5.0,4.0,2.0,0.0,0.273,9.0,5.0,2.0,0,14.76,8.829999999999998,-16.92,19
South Dakota State,Baylor,0.018000000000000016,9.2,9.899999999999999,0.030000000000000002,-134,-0.016000000000000104,0.027999999999999907,-1,0,1,0,0,0,0,1,-0.16666666666666674,-0.17647058823529416,0.19393939393939397,-1.7180451127819547,-3.7902255639097744,1.8413533834586466,0.2947368421052632,-2.8819548872180456,-4.862406015037594,0.07669172932330848,4.005263157894737,-0.11203007518796992,-0.537593984962406,2.0518796992481203,2.0864661654135337,2.537593984962406,1.0,-1.5,-0.09000000000000011,-0.0689999999999999,0.010000000000000002,6.200000000000003,-4.800000000000004,-0.8000000000000007,6.2,0.015,2.700000000000003,3.9999999999999964,-0.0529999999999999,0.11700000000000005,2.0,2.0,0.0,0.0,0.12499999999999994,2.0,2.0,0.0,0,3.1999999999999993,6.0,-9.120000000000005,8
Brigham Young,Marquette,0.028000000000000025,5.670000000000002,5.95,-0.001000000000000098,-23,-0.009999999999999998,0.0020000000000000018,-1,0,0,0,0,1,0,1,0.02777777777777779,0.125,-0.18181818181818188,-0.457142857142857,-0.6571428571428573,-1.3714285714285714,-2.9142857142857146,2.085714285714286,2.8285714285714287,-2.4857142857142858,-3.8857142857142857,-0.5142857142857138,-0.5714285714285714,-2.5142857142857142,-1.0,-1.4285714285714284,-2.299999999999997,-1.1000000000000103,0.067,0.005999999999999901,0.0040000000000000036,-5.6000000000000085,1.3000000000000038,-0.6999999999999993,-6.9,-0.0030000000000001,-0.6000000000000014,-6.400000000000002,0.0479999999999999,-0.09299999999999997,-2.0,1.0,0.0,0.0,-0.134,-2.0,1.0,0.0,0,1.6600000000000001,4.0200000000000005,-2.3299999999999983,20
