Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,29,13,16,.448,-0.45,2.14,,3,11,,9,7,,2,7,,1786,1798,,62.9,97.8,.371,.420,.517,56.4,60.9,10.3,9.2,.477,19.0,33.7,.262
2,Akron,34,22,12,.647,6.33,0.72,,13,3,,13,2,,8,8,,2456,2241,,67.5,96.9,.338,.299,.501,50.8,52.3,9.4,8.8,.465,17.6,36.4,.234
3,Alabama NCAA,33,21,12,.636,13.76,7.18,,9,7,,12,3,,4,6,,2135,1918,,62.9,91.8,.382,.332,.474,50.1,51.5,8.7,9.4,.437,17.9,34.3,.247
4,Alabama A&M,28,7,21,.250,-19.33,-10.79,,5,13,,6,5,,1,15,,1764,1964,,68.8,101.1,.506,.255,.530,54.5,45.0,11.7,10.8,.491,17.8,37.4,.333
5,Alabama State,31,12,19,.387,-15.79,-9.96,,9,9,,7,4,,4,14,,1840,1995,,65.6,96.1,.403,.303,.515,54.0,57.5,11.6,11.3,.481,20.0,37.2,.264
6,Albany (NY),34,19,15,.559,-3.92,-6.92,,9,7,,10,4,,6,10,,2453,2351,,65.7,104.8,.280,.340,.543,50.8,54.2,8.5,8.8,.523,17.1,35.6,.185
7,Alcorn State,32,10,22,.313,-19.57,-10.61,,6,12,,7,5,,2,14,,1926,2148,,66.5,100.1,.432,.295,.514,56.8,48.3,11.6,10.7,.479,17.9,41.0,.281
8,American,32,20,12,.625,-3.12,-5.24,,10,4,,13,2,,7,10,,2059,1991,,62.9,98.6,.327,.337,.498,53.5,51.3,9.2,8.0,.464,15.0,33.4,.224
9,Appalachian State,31,13,18,.419,-6.93,-3.28,,7,11,,9,5,,3,11,,2121,2175,,68.0,102.8,.388,.281,.514,52.1,48.6,10.1,7.1,.479,14.5,34.6,.260
10,Arizona,35,23,12,.657,10.91,4.62,,12,6,,14,4,,6,4,,2416,2196,,65.0,95.8,.327,.303,.483,50.9,50.4,8.6,9.6,.449,15.4,33.2,.217
11,Arizona State,31,10,21,.323,-1.01,4.31,,6,12,,7,10,,2,7,,1891,2056,,63.4,104.7,.383,.353,.535,50.8,60.1,11.7,8.5,.496,15.4,32.6,.272
12,Arkansas,32,18,14,.563,5.76,3.63,,6,10,,17,3,,1,9,,2299,2231,,70.2,99.4,.368,.320,.520,55.4,50.6,7.9,12.0,.486,19.5,40.6,.249
13,Arkansas State,34,14,20,.412,-3.18,-0.52,,6,10,,10,5,,2,14,,2198,2239,,64.1,101.9,.275,.295,.536,50.9,47.6,10.6,10.1,.511,17.5,33.9,.189
14,Arkansas-Pine Bluff,33,11,22,.333,-16.77,-8.34,,9,9,,6,3,,3,15,,2013,2291,,66.3,104.4,.423,.345,.534,54.3,54.9,11.3,9.2,.507,18.0,38.7,.268
15,Army,30,12,18,.400,-11.26,-7.16,,5,9,,9,6,,3,11,,2027,2091,,69.4,99.1,.357,.386,.540,55.6,54.3,9.2,9.2,.510,19.8,33.4,.243
16,Auburn,31,15,16,.484,2.52,3.84,,5,11,,14,3,,1,10,,1942,1983,,65.0,97.2,.380,.354,.509,52.6,56.6,10.8,10.4,.470,18.4,35.7,.260
17,Austin Peay,32,12,20,.375,-4.86,-0.66,,8,8,,8,5,,4,12,,2216,2324,,68.2,105.6,.349,.317,.553,53.5,52.2,10.2,7.5,.524,18.5,39.6,.239
18,Ball State,30,15,15,.500,-2.93,-4.45,,6,10,,10,5,,5,9,,1901,1822,,62.5,97.2,.327,.358,.507,50.9,57.6,9.3,9.6,.472,18.7,35.6,.228
