Team_A, Team_B, Score_Differential
North Carolina A&T,Liberty,-1
Saint Mary's (CA),Middle Tennessee,-13
Long Island University,James Madison,13
La Salle,Boise State,-9
Valparaiso,Michigan State,11
Southern,Gonzaga,6
North Carolina A&T,Louisville,29
South Dakota State,Michigan,15
Harvard,New Mexico,-6
New Mexico State,Saint Louis,20
Davidson,Marquette,1
Montana,Syracuse,47
Oregon,Oklahoma State,-13
Saint Mary's (CA),Memphis,2
Wichita State,Pittsburgh,-18
Belmont,Arizona,17
Bucknell,Butler,12
California,Nevada-Las Vegas,-3
Missouri,Colorado State,12
Akron,Virginia Commonwealth,46
Western Kentucky,Kansas,7
James Madison,Indiana,21
Pacific,Miami (FL),29
Albany (NY),Duke,12
Iona,Ohio State,25
Florida Gulf Coast,Georgetown,-10
La Salle,Kansas State,-2
Northwestern State,Florida,32
Mississippi,Wisconsin,-11
Cincinnati,Creighton,4
Iowa State,Notre Dame,-18
Minnesota,UCLA,-20
Temple,NC State,-4
Colorado,Illinois,8
Villanova,North Carolina,7
Oklahoma,San Diego State,15
Memphis,Michigan State,22
Wichita State,Gonzaga,-6
Colorado State,Louisville,26
Virginia Commonwealth,Michigan,25
Oregon,Saint Louis,-17
Butler,Marquette,2
California,Syracuse,6
Harvard,Arizona,23
North Carolina,Kansas,12
Temple,Indiana,6
Illinois,Miami (FL),4
Creighton,Duke,16
Iowa State,Ohio State,3
Minnesota,Florida,14
Florida Gulf Coast,San Diego State,-10
La Salle,Mississippi,-2
Syracuse,Indiana,-11
Marquette,Miami (FL),-10
Arizona,Ohio State,3
La Salle,Wichita State,14
Michigan,Kansas,-2
Michigan State,Duke,10
Oregon,Louisville,8
Florida Gulf Coast,Florida,12
Syracuse,Marquette,-26
Wichita State,Ohio State,-4
Michigan,Florida,-20
Duke,Louisville,22
Wichita State,Louisville,4
Syracuse,Michigan,5
Michigan,Louisville,6
