Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Bacari Alexander,Detroit Mercy,Horizon,,8,23,0.258,,,,,2016-17,8,23,0.258,,,,,,8,23,0.258,,,,
Casey Alexander,Lipscomb,A-Sun,,20,13,0.606,,,,,2013-14,61,66,0.48,,,,,,85,102,0.455,,,,
Steve Alford,UCLA,Pac-12,,31,5,0.861,16.0,8.0,Lost Regional Semifinal,,2013-14,96,45,0.681,3.0,3.0,,,,481,251,0.657,10.0,4.0,,
Jimmy Allen,Army,Patriot,,13,19,0.406,,,,,2016-17,13,19,0.406,,,,,,13,19,0.406,,,,
Dana Altman,Oregon,Pac-12,,33,6,0.846,5.0,9.0,Lost National Semifinal,,2010-11,187,70,0.728,5.0,3.0,1.0,,,597,313,0.656,13.0,3.0,1.0,
Tommy Amaker,Harvard,Ivy,,18,10,0.643,,,,,2007-08,193,105,0.648,4.0,,,,,369,244,0.602,5.0,1.0,,
Kim Anderson,Missouri,SEC,,8,24,0.25,,,,,2014-15,27,68,0.284,,,,,,27,68,0.284,,,,
Mike Anderson Sr,Arkansas,SEC,,26,10,0.722,,,Lost Second Round,,2011-12,128,74,0.634,2.0,,,,,328,172,0.656,8.0,2.0,,
Orlando Antigua,South Florida,AAC,,6,7,0.462,,,,,2014-15,23,55,0.295,,,,,,23,55,0.295,,,,
Kevin Baggett,Rider,MAAC,,18,15,0.545,,,,,2012-13,85,79,0.518,,,,,,85,79,0.518,,,,
Roman Banks,Southern,SWAC,,15,18,0.455,,,,,2011-12,114,85,0.573,2.0,,,,,114,85,0.573,2.0,,,
Rick Barnes,Tennessee,SEC,,16,16,0.5,,,,,2015-16,31,35,0.47,,,,,,635,349,0.645,22.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,WAC,,25,10,0.714,,,,,2011-12,106,88,0.546,1.0,,,,,292,277,0.513,4.0,1.0,,
Murry Bartow,South Florida,AAC,,1,16,0.059,,,,,2016-17,1,16,0.059,,,,,,328,264,0.554,4.0,,,
Duggar Baucom,The Citadel,Southern,,12,21,0.364,,,,,2015-16,22,43,0.338,,,,,,173,202,0.461,,,,
Chris Beard,Texas Tech,Big 12,,18,14,0.562,,,,,2016-17,18,14,0.562,,,,,,48,19,0.716,1.0,,,
John Becker,Vermont,AEC,,29,6,0.829,,,Lost First Round,,2011-12,139,69,0.668,2.0,,,,,139,69,0.668,2.0,,,
John Beilein,Michigan,Big Ten,,26,12,0.684,,23.0,Lost Regional Semifinal,,2007-08,215,135,0.614,7.0,3.0,1.0,,,508,310,0.621,11.0,5.0,1.0,
Tony Benford,North Texas,CUSA,,8,22,0.267,,,,,2012-13,62,95,0.395,,,,,,62,95,0.395,,,,
Randy Bennett,Saint Mary's (CA),WCC,,29,5,0.853,17.0,22.0,Lost Second Round,,2001-02,362,156,0.699,6.0,1.0,,,,362,156,0.699,6.0,1.0,,
Tony Bennett,Virginia,ACC,,23,11,0.676,8.0,24.0,Lost Second Round,,2009-10,188,83,0.694,5.0,2.0,,,,257,116,0.689,7.0,3.0,,
Rodney Billups,Denver,Summit,,16,14,0.533,,,,,2016-17,16,14,0.533,,,,,,16,14,0.533,,,,
Jeff Boals,Stony Brook,AEC,,18,14,0.562,,,,,2016-17,18,14,0.562,,,,,,18,14,0.562,,,,
Jim Boeheim *,Syracuse,ACC,,19,15,0.559,19.0,,,,1976-77,1004,357,0.738,32.0,18.0,5.0,1.0,,1004,357,0.738,32.0,18.0,5.0,1.0
Tad Boyle,Colorado,Pac-12,,19,15,0.559,,,,,2010-11,149,95,0.611,4.0,,,,,205,161,0.56,4.0,,,
Todd Bozeman *,Morgan State,MEAC,,14,16,0.467,,,,,2006-07,173,178,0.493,2.0,,,,,236,213,0.526,5.0,1.0,,
Glenn Braica,St. Francis (NY),NEC,,4,27,0.129,,,,,2010-11,102,118,0.464,,,,,,102,118,0.464,,,,
John Brannen,Northern Kentucky,Horizon,,24,11,0.686,,,Lost First Round,,2015-16,33,32,0.508,1.0,,,,,34,33,0.507,1.0,,,
Mike Brennan,American,Patriot,,8,22,0.267,,,,,2013-14,57,70,0.449,1.0,,,,,57,70,0.449,1.0,,,
Wayne Brent,Jackson State,SWAC,,14,18,0.438,,,,,2013-14,56,75,0.427,,,,,,56,75,0.427,,,,
Mike Brey,Notre Dame,ACC,,26,10,0.722,,14.0,Lost Second Round,,2000-01,382,187,0.671,12.0,3.0,,,,481,239,0.668,14.0,3.0,,
Horace Broadnax *,Savannah State,MEAC,,13,16,0.448,,,,,2005-06,156,211,0.425,,,,,,198,299,0.398,,,,
Will Brown,Albany (NY),AEC,,21,14,0.6,,,,,2001-02,260,238,0.522,5.0,,,,,260,238,0.522,5.0,,,
Brad Brownell,Clemson,ACC,,17,16,0.515,,,,,2010-11,124,103,0.546,1.0,,,,,291,188,0.608,4.0,,,
Ken Burmeister,Incarnate Word,Southland,,12,17,0.414,,,,,2013-14,68,46,0.596,,,,,,180,161,0.528,1.0,,,
Mark Byington,Georgia Southern,Sun Belt,,18,15,0.545,,,,,2013-14,69,60,0.535,,,,,,69,60,0.535,,,,
Rick Byrd,Belmont,OVC,,23,7,0.767,,,,,1999-00,364,205,0.64,7.0,,,,,364,205,0.64,7.0,,,
John Calipari *,Kentucky,SEC,,32,6,0.842,2.0,5.0,Lost Regional Final,,2009-10,249,53,0.825,7.0,6.0,4.0,1.0,,694,193,0.782,18.0,13.0,6.0,1.0
Joe Callero,Cal Poly,Big West,,11,20,0.355,,,,,2009-10,111,139,0.444,1.0,,,,,111,139,0.444,1.0,,,
Bill Carmody,Holy Cross,Patriot,,15,17,0.469,,,,,2015-16,30,37,0.448,1.0,,,,,314,272,0.536,3.0,,,
Chris Casey,Niagara,MAAC,,10,23,0.303,,,,,2013-14,32,96,0.25,,,,,,32,96,0.25,,,,
Patrick Chambers,Penn State,Big Ten,,15,18,0.455,,,,,2011-12,87,109,0.444,,,,,,129,137,0.485,1.0,,,
Scott Cherry,High Point,Big South,,15,16,0.484,,,,,2009-10,132,118,0.528,,,,,,132,118,0.528,,,,
Jamion Christian,Mount St. Mary's,NEC,,20,16,0.556,,,Lost First Round,,2012-13,83,81,0.506,2.0,,,,,83,81,0.506,2.0,,,
Jim Christian,Boston College,ACC,,9,23,0.281,,,,,2014-15,29,67,0.302,,,,,,271,221,0.551,2.0,,,
Tim Cluess,Iona,MAAC,,22,13,0.629,,,Lost First Round,,2010-11,162,78,0.675,4.0,,,,,162,78,0.675,4.0,,,
