Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,36,25,11,.694,2.25,-2.09,,11,7,,14,3,,6,6,,2761,2432,,71.9,105.3,.382,.358,.541,48.2,56.9,14.9,6.3,.495,15.1,29.1,.288
2,Air Force,29,11,18,.379,-5.67,1.33,,4,13,,7,6,,2,10,,1712,1915,,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6,.174
3,Akron NCAA,34,24,10,.706,0.91,-3.93,,14,6,,12,3,,8,4,,2402,2130,,64.1,109.8,.390,.416,.563,53.0,47.9,9.1,9.2,.533,15.4,30.6,.268
4,Alabama NCAA,33,19,14,.576,14.62,11.59,,9,9,,13,3,,3,7,,2623,2523,,73.2,108.1,.329,.476,.547,52.3,53.1,9.6,11.9,.513,16.7,35.3,.239
5,Alabama A&M,30,12,18,.400,-14.43,-8.86,,10,8,,7,3,,4,14,,1843,2010,,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.412,16.8,28.7,.239
6,Alabama State,31,10,21,.323,-12.05,-5.45,,8,10,,7,6,,3,15,,2160,2332,,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7,.264
7,Albany (NY),31,13,18,.419,-9.80,-5.77,,9,9,,4,8,,8,9,,1917,2042,,65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1,.176
8,Alcorn State,34,17,17,.500,-8.68,-4.12,,14,4,,6,3,,9,13,,2262,2417,,69.0,95.8,.324,.292,.494,51.1,43.1,10.7,7.6,.458,17.3,31.9,.224
9,American,32,10,22,.313,-15.38,-7.91,,5,13,,6,5,,4,16,,2031,2270,,66.8,94.2,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6,.177
10,Appalachian State,34,19,15,.559,-1.45,-1.45,,12,6,,11,5,,6,7,,2281,2146,,65.5,102.0,.273,.430,.513,50.4,51.9,8.5,7.1,.490,13.6,27.3,.180
11,Arizona NCAA,37,33,4,.892,22.75,6.84,,18,2,,17,0,,9,3,,3107,2518,,72.7,114.7,.349,.359,.587,55.0,65.0,9.2,13.4,.556,15.8,34.6,.258
12,Arizona State,31,14,17,.452,7.64,9.48,,10,10,,9,6,,5,7,,2027,2084,,67.9,94.7,.212,.372,.492,47.2,53.4,9.7,12.4,.471,15.2,24.9,.140
13,Arkansas NCAA,37,28,9,.757,16.27,8.62,,13,5,,17,1,,5,4,,2810,2527,,72.0,104.8,.372,.342,.533,52.0,52.7,10.5,11.7,.486,14.6,29.5,.282
14,Arkansas State,29,18,11,.621,-3.27,-3.50,,8,7,,11,3,,6,7,,2055,1974,,69.5,101.5,.332,.306,.537,51.5,60.7,11.3,8.5,.498,17.4,29.8,.247
15,Arkansas-Pine Bluff,31,7,24,.226,-18.96,-4.58,,5,13,,5,7,,2,17,,2055,2426,,69.3,95.3,.345,.407,.510,43.8,50.1,10.3,6.4,.470,16.8,24.6,.247
16,Army,31,15,16,.484,-10.53,-7.53,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,.316,.355,.516,51.3,48.4,11.1,5.3,.494,16.2,30.0,.199
17,Auburn NCAA,34,28,6,.824,19.20,8.17,,15,3,,16,0,,8,3,,2660,2285,,71.3,108.1,.316,.398,.534,52.5,53.1,11.5,21.1,.499,14.2,33.6,.231
18,Austin Peay,29,12,17,.414,-10.02,-3.39,,8,10,,6,5,,6,11,,1875,2004,,66.1,96.5,.266,.443,.508,48.6,58.6,9.6,6.1,.478,18.0,29.5,.188
19,Ball State,31,14,17,.452,-7.99,-4.56,,9,10,,9,5,,4,9,,2304,2380,,71.6,103.4,.374,.412,.549,49.6,51.8,8.4,7.0,.516,17.1,27.1,.260
20,Baylor NCAA,34,27,7,.794,21.73,8.76,,14,4,,15,2,,8,3,,2619,2178,,68.6,111.4,.290,.384,.553,53.4,56.3,12.7,9.7,.528,15.1,36.3,.202
21,Bellarmine,33,20,13,.606,-3.77,-1.28,,11,5,,11,4,,8,8,,2314,2217,,63.8,109.5,.217,.409,.568,48.3,54.4,8.8,5.8,.545,13.3,23.7,.163
22,Belmont,33,25,8,.758,6.49,-2.57,,15,3,,13,1,,10,5,,2583,2264,,70.3,110.5,.266,.434,.585,49.9,62.2,12.8,11.0,.560,15.0,24.6,.197
23,Bethune-Cookman,30,9,21,.300,-14.70,-6.70,,7,11,,4,6,,4,13,,1901,2086,,67.4,93.3,.287,.252,.491,48.2,45.4,11.7,7.1,.459,17.1,28.4,.198
24,Binghamton,29,12,17,.414,-10.41,-6.18,,8,10,,5,8,,7,9,,1962,1983,,67.3,100.1,.230,.356,.523,50.5,44.8,8.4,10.0,.504,16.3,27.2,.152
25,Boise State NCAA,35,27,8,.771,11.93,5.22,,15,3,,13,3,,9,3,,2389,2130,,64.9,104.1,.350,.388,.536,53.6,47.0,9.2,9.6,.512,15.9,30.6,.227
26,Boston College,33,13,20,.394,4.03,5.22,,6,14,,9,7,,2,10,,2209,2248,,65.5,100.7,.296,.324,.511,50.9,50.2,10.8,8.6,.478,15.4,30.0,.208
27,Boston University,35,22,13,.629,-5.07,-7.34,,11,7,,11,4,,8,8,,2470,2369,,65.3,106.9,.290,.378,.552,53.4,43.0,8.5,6.6,.521,15.9,31.1,.214
28,Bowling Green State,31,13,18,.419,-8.82,-4.44,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.1,.315,.371,.535,50.3,44.3,9.8,9.4,.498,14.1,30.7,.233
29,Bradley,31,17,14,.548,5.79,1.19,,11,7,,12,2,,3,8,,2185,2021,,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1,.192
30,Brigham Young,35,24,11,.686,10.05,5.23,,9,6,,14,3,,6,5,,2599,2392,,69.1,106.7,.265,.377,.549,54.8,53.4,6.9,8.6,.524,15.7,30.8,.190
31,Brown,29,13,16,.448,-3.32,-1.91,,5,9,,6,7,,6,7,,2058,2015,,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4,.218
32,Bryant NCAA,32,22,10,.688,-4.80,-7.41,,15,2,,14,1,,7,7,,2497,2348,,73.0,106.1,.322,.431,.538,51.8,50.5,8.8,10.1,.502,16.1,33.1,.236
33,Bucknell,32,9,23,.281,-14.62,-6.37,,5,13,,7,6,,2,15,,2277,2541,,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4,.217
34,Buffalo,30,19,11,.633,1.90,-3.21,,13,6,,9,3,,9,6,,2398,2168,,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2,.184
35,Butler,33,14,19,.424,4.45,9.16,,6,14,,9,7,,3,8,,2107,2209,,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7,.211
36,Cal Poly,28,7,21,.250,-10.60,-3.30,,4,12,,4,7,,2,12,,1721,1885,,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9,.268
37,Cal State Bakersfield,28,9,19,.321,-7.57,-2.01,,2,14,,6,7,,2,11,,1816,1857,,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6,.214
38,Cal State Fullerton NCAA,32,21,11,.656,-0.04,-2.28,,12,5,,11,2,,7,7,,2239,2129,,67.2,104.1,.351,.300,.539,51.1,45.5,10.8,5.7,.494,15.7,29.7,.269
39,Cal State Northridge,30,7,23,.233,-12.02,-1.41,,3,15,,4,11,,3,11,,1847,2137,,65.7,92.5,.293,.302,.481,46.0,40.6,10.8,7.5,.448,16.1,27.0,.200
40,California,32,12,20,.375,3.96,6.96,,5,15,,10,8,,2,9,,2018,2114,,64.9,96.4,.253,.316,.501,50.9,45.2,7.4,7.2,.469,15.1,25.3,.184
41,California Baptist,34,18,16,.529,-3.53,-3.34,,7,11,,14,5,,3,9,,2402,2284,,69.3,101.6,.366,.430,.539,51.8,65.1,7.4,7.1,.509,17.5,28.7,.246
42,Campbell,29,16,13,.552,-4.84,-5.76,,8,8,,9,4,,5,8,,1919,1798,,63.9,102.7,.275,.369,.542,49.7,56.0,9.6,7.0,.519,14.6,22.2,.187
43,Canisius,32,11,21,.344,-7.48,-2.25,,7,13,,10,5,,1,15,,2192,2288,,69.6,97.6,.299,.397,.494,49.3,53.5,8.6,6.6,.461,14.6,28.5,.207
44,Central Arkansas,31,11,20,.355,-13.83,-1.70,,7,9,,8,4,,3,14,,2269,2515,,73.0,99.4,.227,.352,.523,48.6,51.5,9.2,8.0,.493,16.3,27.4,.172
45,Central Connecticut State,32,8,24,.250,-17.43,-7.09,,4,13,,4,7,,4,15,,1977,2308,,66.2,92.2,.291,.392,.495,46.6,49.3,9.3,6.3,.460,18.1,26.3,.206
46,Central Florida,30,18,12,.600,6.23,4.63,,9,9,,13,3,,4,8,,2095,2047,,68.1,102.2,.285,.431,.528,49.7,58.8,10.2,10.9,.499,16.5,30.8,.201
47,Central Michigan,30,7,23,.233,-12.56,-1.52,,6,12,,2,9,,5,11,,1978,2309,,68.8,95.4,.305,.401,.509,46.6,49.7,9.1,9.0,.478,17.3,25.3,.211
48,Charleston Southern,31,6,25,.194,-17.56,-4.21,,1,15,,4,9,,1,13,,2122,2356,,71.3,95.6,.304,.454,.507,50.0,49.8,9.1,8.1,.478,17.8,27.6,.206
49,Charlotte,31,17,14,.548,-1.62,-0.42,,10,8,,11,4,,6,6,,2171,2208,,66.7,105.1,.280,.398,.564,49.0,55.4,7.2,8.0,.529,15.6,22.6,.221
50,Chattanooga NCAA,35,27,8,.771,6.12,-0.94,,14,4,,12,3,,12,4,,2596,2253,,66.0,111.6,.266,.389,.560,53.7,47.0,10.8,6.4,.531,14.2,32.7,.198
51,Chicago State,32,7,25,.219,-14.24,-1.96,,3,15,,5,9,,2,15,,1987,2380,,66.7,93.0,.294,.438,.487,48.3,43.3,8.2,6.4,.459,18.8,32.2,.192
52,Cincinnati,33,18,15,.545,7.44,4.28,,7,11,,12,6,,4,7,,2291,2176,,68.6,101.2,.296,.424,.499,49.8,53.3,9.2,9.7,.470,13.1,29.9,.198
53,Clemson,33,17,16,.515,9.59,6.31,,8,12,,11,5,,3,8,,2367,2259,,66.6,106.8,.298,.378,.555,51.4,55.2,8.8,7.2,.524,14.6,25.8,.219
54,Cleveland State,31,20,11,.645,-1.78,-5.64,,15,6,,15,3,,5,7,,2336,2168,,68.7,107.5,.362,.338,.559,51.9,60.1,12.3,10.4,.534,16.7,33.8,.243
55,Coastal Carolina,33,19,14,.576,0.66,-2.41,,8,8,,13,7,,5,5,,2404,2156,,67.6,106.6,.307,.358,.541,53.9,51.0,9.8,11.2,.513,16.4,34.2,.214
56,Colgate NCAA,35,23,12,.657,0.98,-6.37,,16,2,,15,1,,8,10,,2646,2349,,67.6,111.4,.262,.422,.579,51.9,62.0,9.0,9.3,.559,14.8,26.6,.182
57,College of Charleston,32,17,15,.531,0.52,-1.23,,8,10,,9,6,,7,8,,2502,2446,,74.3,104.5,.304,.376,.536,54.7,47.2,10.6,7.2,.503,17.6,35.9,.222
58,Colorado,33,21,12,.636,9.82,6.15,,12,8,,12,6,,6,4,,2345,2224,,68.4,103.2,.347,.336,.545,53.6,54.0,8.0,8.7,.504,17.2,30.0,.262
59,Colorado State NCAA,31,25,6,.806,11.51,4.77,,14,4,,14,1,,6,3,,2275,2047,,66.0,110.4,.296,.395,.583,49.8,53.8,9.6,9.8,.551,13.8,22.1,.229
60,Columbia,26,4,22,.154,-17.50,-4.62,,1,13,,3,10,,1,12,,1752,2049,,71.0,94.5,.263,.363,.509,49.0,48.1,8.3,5.7,.490,18.7,27.3,.165
61,Connecticut NCAA,33,23,10,.697,16.40,6.88,,13,6,,14,2,,5,5,,2469,2155,,66.8,109.8,.305,.345,.534,55.1,52.6,8.7,16.6,.496,14.4,37.7,.230
62,Coppin State,32,9,23,.281,-12.78,-5.03,,6,8,,3,6,,4,16,,2142,2390,,74.4,90.0,.346,.499,.497,44.0,49.4,10.8,8.1,.460,17.6,20.1,.237
63,Cornell,26,15,11,.577,-3.41,-3.45,,7,7,,10,2,,5,8,,2059,1941,,73.5,107.2,.303,.458,.571,51.3,61.2,10.7,8.3,.546,17.0,28.0,.215
64,Creighton NCAA,35,23,12,.657,11.34,8.54,,12,7,,11,4,,6,5,,2422,2324,,68.1,100.5,.267,.381,.537,51.7,52.0,8.0,10.1,.506,17.9,28.4,.197
65,Dartmouth,25,9,16,.360,-4.12,-2.62,,6,8,,5,5,,4,11,,1709,1705,,66.8,100.8,.241,.449,.526,48.2,42.9,9.8,9.6,.493,15.0,23.9,.186
66,Davidson NCAA,34,27,7,.794,10.43,1.92,,15,3,,13,1,,9,3,,2567,2244,,66.1,113.8,.316,.412,.591,52.3,54.8,7.0,8.2,.561,13.3,23.8,.238
67,Dayton,35,24,11,.686,10.41,2.41,,14,4,,13,4,,7,6,,2423,2143,,64.4,107.1,.305,.337,.562,54.5,55.9,8.6,11.1,.539,16.7,30.1,.208
68,Delaware NCAA,35,22,13,.629,0.32,-1.82,,10,8,,9,5,,8,5,,2568,2456,,68.0,107.2,.339,.388,.570,49.2,48.4,9.7,9.8,.536,16.3,26.9,.252
69,Delaware State,28,2,26,.071,-22.63,-7.39,,0,14,,2,11,,0,13,,1757,2058,,71.0,88.0,.306,.332,.490,47.6,42.8,10.2,12.3,.458,21.4,27.4,.205
70,Denver,32,11,21,.344,-10.12,-5.96,,7,11,,6,7,,4,12,,2257,2380,,68.5,101.7,.318,.356,.553,48.4,48.3,7.5,9.5,.526,16.9,23.2,.222
71,DePaul,31,15,16,.484,7.83,6.73,,6,14,,11,7,,4,8,,2272,2238,,70.4,103.7,.334,.342,.521,51.6,43.4,8.8,12.5,.488,14.8,31.7,.232
72,Detroit Mercy,30,14,16,.467,-6.33,-5.02,,10,7,,9,1,,5,15,,2122,2115,,65.8,107.6,.229,.488,.558,48.7,48.1,8.9,6.0,.530,15.5,27.9,.178
73,Drake,36,25,11,.694,7.34,1.04,,13,5,,14,3,,8,2,,2660,2391,,66.4,109.0,.280,.346,.552,52.1,43.6,10.3,9.5,.520,13.9,29.5,.211
74,Drexel,29,15,14,.517,-0.29,-1.90,,10,8,,8,4,,6,7,,2112,2038,,68.0,106.1,.253,.354,.549,50.2,45.5,6.9,7.5,.525,14.1,25.3,.180
75,Duke NCAA,39,32,7,.821,19.55,7.26,,16,4,,15,3,,9,2,,3122,2643,,68.2,117.0,.286,.357,.583,52.8,55.4,9.3,13.4,.557,13.0,31.6,.211
76,Duquesne,30,6,24,.200,-6.34,1.86,,1,16,,3,11,,1,10,,1956,2202,,66.9,95.9,.219,.333,.481,47.4,40.4,9.8,10.8,.454,14.5,29.3,.155
77,East Carolina,30,15,15,.500,0.49,2.66,,6,11,,12,4,,2,7,,2063,2128,,68.9,99.0,.335,.392,.516,49.3,63.1,9.7,9.0,.471,16.3,27.5,.253
78,East Tennessee State,32,15,17,.469,-2.76,-0.36,,7,11,,8,6,,4,10,,2306,2336,,66.6,107.9,.229,.417,.541,50.0,49.2,10.1,8.7,.517,14.5,31.3,.166
79,Eastern Illinois,31,5,26,.161,-21.07,-3.97,,3,15,,4,9,,1,16,,1746,2205,,66.6,84.6,.315,.362,.485,44.4,58.9,9.5,9.2,.457,21.6,21.7,.201
80,Eastern Kentucky,31,13,18,.419,-6.75,-5.38,,5,11,,12,5,,1,13,,2457,2327,,73.0,106.5,.213,.484,.525,47.5,54.7,13.7,10.1,.503,13.3,29.7,.151
81,Eastern Michigan,31,10,21,.323,-10.86,-3.03,,5,15,,8,7,,2,14,,2143,2356,,70.7,95.5,.303,.350,.516,47.7,40.2,8.1,8.1,.485,17.1,23.0,.211
82,Eastern Washington,34,18,16,.529,-5.20,-5.14,,11,9,,9,3,,8,11,,2613,2536,,71.6,106.5,.333,.428,.565,51.7,59.3,7.7,7.8,.528,16.3,26.7,.251
83,Elon,32,10,22,.313,-6.15,1.39,,7,11,,7,7,,3,11,,2147,2311,,67.3,99.8,.258,.443,.531,48.5,52.3,7.2,7.2,.501,17.1,25.8,.190
84,Evansville,30,6,24,.200,-10.95,1.40,,2,16,,4,9,,2,11,,1775,2122,,64.2,90.3,.243,.470,.503,43.8,50.2,9.1,5.8,.475,16.0,14.3,.172
85,Fairfield,33,15,18,.455,-3.88,-4.09,,8,12,,6,9,,8,8,,2239,2177,,65.5,102.5,.261,.391,.527,50.2,48.0,8.2,7.8,.500,14.6,27.8,.184
86,Fairleigh Dickinson,26,4,22,.154,-18.13,-6.21,,4,11,,3,6,,1,16,,1748,2058,,70.4,94.6,.278,.354,.497,46.1,48.6,9.1,7.6,.464,16.9,27.7,.197
87,Florida,34,20,14,.588,11.93,7.84,,9,9,,13,5,,4,7,,2400,2261,,66.8,104.9,.338,.458,.534,49.0,52.7,12.4,13.5,.496,15.8,31.5,.248
88,Florida A&M,30,13,17,.433,-12.05,-6.70,,11,7,,8,4,,5,12,,1952,2064,,67.3,95.9,.289,.265,.502,46.7,49.1,9.2,8.5,.468,16.2,26.2,.204
89,Florida Atlantic,34,19,15,.559,2.63,-1.82,,11,7,,14,5,,4,8,,2519,2315,,68.7,107.4,.284,.424,.554,53.1,50.1,10.7,7.8,.527,16.1,31.5,.203
90,Florida Gulf Coast,34,22,12,.647,-3.07,-4.91,,10,6,,16,3,,6,9,,2641,2505,,70.3,108.1,.289,.477,.558,52.6,56.6,9.3,12.3,.537,16.2,31.1,.195
91,Florida International,32,15,17,.469,-6.47,-3.27,,5,13,,11,5,,1,11,,2264,2274,,69.0,100.6,.248,.465,.535,48.9,54.5,9.1,11.1,.511,17.4,27.0,.174
92,Florida State,31,17,14,.548,6.39,7.32,,10,10,,11,4,,4,8,,2201,2230,,68.6,102.7,.303,.341,.522,49.8,55.7,12.3,14.8,.490,15.5,31.6,.214
93,Fordham,32,16,16,.500,-0.89,-0.20,,8,10,,10,4,,3,9,,2115,2137,,68.6,94.8,.297,.427,.496,49.9,51.4,10.5,9.9,.457,16.5,27.0,.216
94,Fresno State,36,23,13,.639,8.36,1.94,,8,9,,14,4,,6,8,,2384,2139,,62.4,104.2,.311,.387,.542,52.8,50.4,9.6,9.4,.511,15.5,27.7,.221
95,Furman,34,22,12,.647,6.20,-1.44,,12,6,,12,3,,8,8,,2640,2336,,66.1,115.0,.226,.517,.585,49.8,62.5,12.2,9.7,.562,13.7,27.7,.171
96,Gardner-Webb,31,18,13,.581,-2.35,-4.43,,11,5,,11,3,,6,9,,2154,1989,,69.7,99.7,.287,.396,.536,52.0,52.2,10.4,14.6,.509,17.2,25.3,.201
97,George Mason,30,14,16,.467,4.18,1.98,,7,9,,10,4,,4,8,,2122,2056,,66.6,104.0,.291,.465,.553,51.3,56.5,7.4,9.7,.529,16.1,25.0,.202
98,George Washington,30,12,18,.400,-4.07,0.40,,8,9,,8,5,,3,10,,2051,2185,,69.7,96.9,.260,.358,.516,46.2,48.5,9.8,10.5,.489,16.0,23.2,.181
99,Georgetown,31,6,25,.194,1.71,8.03,,0,19,,6,11,,0,11,,2192,2388,,71.0,99.5,.290,.360,.501,50.1,47.5,10.1,10.9,.462,15.9,32.3,.216
100,Georgia,32,6,26,.188,-0.63,8.06,,1,17,,6,13,,0,10,,2234,2512,,69.8,100.0,.390,.370,.546,48.4,58.2,7.5,5.9,.502,18.4,25.6,.292
101,Georgia Southern,29,13,16,.448,-7.04,-3.04,,5,11,,7,5,,4,10,,1927,1903,,67.1,98.2,.303,.350,.527,50.0,48.6,11.0,10.1,.500,18.5,28.6,.206
102,Georgia State NCAA,29,18,11,.621,-1.11,-1.34,,9,5,,8,4,,6,5,,2049,1906,,68.6,101.7,.295,.371,.498,50.7,54.2,12.7,12.8,.461,14.1,33.9,.213
103,Georgia Tech,32,12,20,.375,2.24,6.08,,5,15,,8,10,,3,8,,2195,2264,,68.6,98.4,.247,.346,.527,49.0,53.2,11.2,7.2,.502,16.7,25.7,.172
104,Gonzaga NCAA,32,28,4,.875,25.46,4.50,,13,1,,16,0,,5,1,,2790,2119,,73.8,118.1,.306,.353,.608,55.7,55.3,8.7,13.4,.587,13.9,29.1,.219
105,Grambling,32,12,20,.375,-12.35,-5.08,,8,9,,6,4,,4,14,,2092,2273,,70.5,92.8,.330,.281,.491,48.2,46.7,9.4,9.1,.451,17.6,27.9,.234
106,Grand Canyon,31,23,8,.742,5.81,-2.57,,12,5,,15,2,,6,5,,2204,1898,,67.7,105.0,.310,.395,.527,54.1,50.5,9.8,5.9,.500,16.2,34.7,.210
107,Green Bay,30,5,25,.167,-13.89,-5.44,,4,16,,4,9,,1,13,,1852,2068,,64.9,95.1,.316,.347,.505,48.4,48.2,7.7,7.9,.468,17.4,27.3,.226
108,Hampton,28,9,19,.321,-13.54,-6.00,,5,11,,7,4,,2,11,,1814,1946,,69.2,92.7,.361,.349,.493,46.6,46.5,7.4,10.3,.451,16.0,23.1,.253
109,Hartford,32,12,20,.375,-10.03,-7.69,,9,9,,7,5,,5,13,,2234,2309,,67.1,103.7,.276,.452,.555,48.3,48.8,9.0,8.8,.533,16.2,23.8,.191
110,Harvard,26,13,13,.500,-4.68,-4.20,,5,9,,9,6,,4,7,,1858,1797,,69.7,101.1,.263,.428,.528,49.8,43.6,10.8,7.3,.503,15.4,25.4,.182
111,Hawaii,28,17,11,.607,-0.52,-3.06,,12,5,,10,4,,5,5,,1928,1796,,66.2,104.0,.325,.420,.552,53.4,51.6,5.3,5.5,.516,17.3,29.1,.242
112,High Point,32,14,18,.438,-6.53,-3.39,,7,9,,10,6,,3,10,,2225,2232,,67.7,100.0,.343,.340,.523,49.6,49.5,9.3,12.7,.499,16.7,28.3,.219
113,Hofstra,32,21,11,.656,1.80,-0.60,,13,5,,12,2,,8,8,,2494,2333,,70.5,109.7,.209,.447,.566,48.2,53.3,11.2,8.0,.539,13.0,23.7,.166
114,Holy Cross,31,9,22,.290,-16.84,-7.87,,7,11,,5,9,,4,11,,2022,2192,,67.9,96.1,.281,.294,.497,48.9,42.5,8.7,9.9,.464,16.0,27.6,.199
115,Houston NCAA,38,32,6,.842,22.55,6.47,,15,3,,16,1,,7,3,,2844,2233,,65.0,113.9,.290,.389,.551,54.9,58.5,12.2,17.1,.531,14.1,37.7,.193
116,Houston Christian,29,11,18,.379,-14.47,-6.71,,6,8,,7,6,,3,8,,2190,2220,,72.2,102.9,.383,.363,.542,52.5,51.2,10.8,6.9,.504,17.8,31.9,.272
117,Howard,29,16,13,.552,-6.76,-8.53,,9,5,,9,4,,5,8,,2215,2019,,73.4,103.6,.351,.395,.549,48.3,55.1,11.4,9.2,.510,17.5,28.9,.262
118,Idaho,31,9,22,.290,-13.19,-4.78,,6,14,,8,7,,1,12,,2263,2468,,71.3,101.5,.351,.378,.550,49.0,47.4,4.9,5.5,.512,17.0,23.6,.258
119,Idaho State,30,7,23,.233,-14.96,-5.28,,5,15,,5,8,,2,14,,1931,2146,,65.9,97.2,.339,.425,.517,49.9,46.5,6.8,6.3,.484,18.2,28.8,.232
120,Illinois NCAA,33,23,10,.697,16.69,9.48,,15,5,,13,3,,7,4,,2456,2218,,67.9,108.8,.320,.426,.554,53.8,58.1,7.6,7.1,.525,15.5,33.1,.226
121,Illinois State,33,13,20,.394,-0.78,0.74,,5,13,,11,6,,1,11,,2447,2466,,69.2,104.4,.314,.366,.553,50.3,46.7,9.6,12.5,.518,17.0,28.5,.234
122,Illinois-Chicago,30,14,16,.467,-8.78,-6.37,,9,10,,6,6,,8,8,,2159,2188,,69.4,102.4,.228,.461,.537,48.5,55.3,8.2,9.4,.514,15.2,24.6,.161
123,Incarnate Word,32,7,25,.219,-17.03,-4.34,,3,11,,5,10,,1,11,,2145,2445,,68.4,97.9,.284,.448,.533,45.6,50.2,7.6,4.8,.494,17.7,23.6,.223
124,Indiana NCAA,35,21,14,.600,12.71,8.08,,9,11,,14,4,,3,8,,2478,2316,,67.9,103.2,.335,.311,.538,51.8,56.6,8.2,14.1,.506,15.2,27.0,.234
125,Indiana State,31,11,20,.355,-3.49,1.94,,4,14,,8,6,,2,11,,2184,2230,,69.4,99.5,.264,.460,.552,49.3,52.3,8.5,5.1,.518,17.1,18.6,.206
126,Iona,33,25,8,.758,5.47,-1.14,,17,3,,13,0,,7,5,,2482,2264,,70.2,106.3,.372,.361,.540,51.2,61.0,9.3,15.3,.507,15.4,31.8,.258
