Rk,School,Conf,Unnamed: 3,W,L,Pts,Opp,MOV,Unnamed: 9,SOS,Unnamed: 11,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,28,4,87.2,66.2,20.97,,4.5,,19.65,5.82,25.46,122.0,87.05,34.95
2,Arizona,Pac-12,,33,4,84.0,68.1,15.92,,6.84,,17.87,4.88,22.75,119.64,88.31,31.32
3,Houston,AAC,,32,6,74.8,58.8,16.08,,6.47,,7.94,14.6,22.55,118.72,84.89,33.83
4,Kansas,Big 12,,34,6,78.2,67.3,10.98,,11.3,,15.3,6.98,22.28,121.11,89.14,31.97
5,Baylor,Big 12,,27,7,77.0,64.1,12.97,,8.76,,12.12,9.61,21.73,119.06,87.25,31.81
6,Kentucky,SEC,,26,8,79.4,66.6,12.88,,8.02,,13.5,7.4,20.9,120.81,91.08,29.73
7,Tennessee,SEC,,27,8,73.5,62.9,10.51,,9.94,,8.22,12.24,20.46,114.15,84.02,30.14
8,Texas Tech,Big 12,,27,10,72.1,60.6,11.43,,8.65,,6.76,13.32,20.08,113.09,83.5,29.59
9,Duke,ACC,,32,7,80.1,67.8,12.28,,7.26,,13.21,6.34,19.55,121.25,92.73,28.52
10,Villanova,Big East,,30,8,71.7,62.7,9.03,,10.29,,5.86,13.45,19.31,119.23,89.91,29.32
11,UCLA,Pac-12,,27,8,75.4,64.5,10.94,,8.36,,9.42,9.88,19.3,117.3,88.92,28.38
12,Auburn,SEC,,28,6,78.2,67.2,11.03,,8.17,,12.12,7.09,19.2,113.67,86.39,27.28
13,Purdue,Big Ten,,29,8,79.4,68.4,10.92,,8.23,,13.35,5.79,19.15,122.65,94.56,28.09
14,Iowa,Big Ten,,26,10,83.2,71.2,12.03,,6.87,,16.62,2.28,18.9,122.09,95.27,26.82
15,Louisiana State,SEC,,22,12,72.6,63.4,9.15,,8.3,,6.03,11.42,17.45,109.0,84.25,24.74
16,Texas,Big 12,,22,12,68.8,60.6,8.15,,8.87,,3.55,13.47,17.01,113.56,87.38,26.18
17,Illinois,Big Ten,,23,10,74.4,67.2,7.21,,9.48,,8.78,7.91,16.69,114.99,90.38,24.61
18,Connecticut,Big East,,23,10,74.8,65.3,9.52,,6.88,,8.28,8.12,16.4,115.28,91.83,23.45
19,Arkansas,SEC,,28,9,75.9,68.3,7.65,,8.62,,10.1,6.17,16.27,111.06,87.82,23.25
20,North Carolina,ACC,,29,10,77.9,71.3,6.62,,8.89,,12.35,3.15,15.5,114.93,92.16,22.77
21,Saint Mary's (CA),WCC,,26,8,69.7,60.6,9.09,,6.58,,1.54,13.28,14.82,110.94,88.99,21.96
22,Memphis,AAC,,22,11,75.2,68.3,6.82,,7.86,,9.28,5.4,14.67,112.07,91.09,20.98
23,Alabama,SEC,,19,14,79.5,76.5,3.03,,11.59,,14.77,-0.15,14.62,116.63,95.49,21.15
24,Virginia Tech,ACC,,23,13,70.8,62.8,8.0,,6.48,,4.29,10.19,14.48,115.65,93.66,21.99
25,Michigan,Big Ten,,19,15,72.6,69.4,3.24,,11.02,,7.43,6.83,14.26,115.09,94.38,20.71
26,Ohio State,Big Ten,,20,12,72.8,67.7,5.09,,9.08,,7.97,6.2,14.17,117.03,95.82,21.22
27,Oklahoma,Big 12,,19,16,69.1,65.0,4.03,,10.1,,4.72,9.4,14.12,112.1,91.59,20.51
28,San Francisco,WCC,,24,10,77.4,67.8,9.59,,5.24,,8.3,5.82,14.12,111.45,91.31,20.14
