Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,.433,-2.79,0.90,,5,11,,9,5,,4,8,,2249,2133,,1210,812,1800,.451,211,613,.344,414,573,.723,307,972,471,264,71,379,617
2,Air Force,32,14,18,.438,2.00,2.12,,5,13,,10,9,,4,9,,2142,2146,,1295,756,1636,.462,261,733,.356,369,511,.722,213,946,491,184,127,391,544
3,Akron,33,22,11,.667,4.19,-1.65,,13,5,,15,1,,5,6,,2463,2209,,1330,844,1898,.445,300,845,.355,475,643,.739,335,1178,443,199,87,370,529
4,Alabama NCAA,37,31,6,.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,1510,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691
5,Alabama A&M,33,15,18,.455,-10.78,-7.71,,10,8,,9,8,,5,8,,2297,2340,,1336,823,1868,.441,226,610,.370,425,649,.655,334,1079,419,264,133,498,624
6,Alabama State,31,8,23,.258,-16.33,-6.29,,6,12,,5,5,,2,18,,1963,2252,,1245,683,1821,.375,185,605,.306,412,584,.705,387,1117,309,182,110,414,557
7,Albany (NY),31,8,23,.258,-14.36,-4.53,,3,13,,5,6,,2,16,,2086,2332,,1245,726,1755,.414,237,725,.327,397,550,.722,317,1033,363,178,51,414,576
8,Alcorn State,32,18,14,.563,-8.74,-5.81,,15,3,,7,2,,10,10,,2165,2259,,1301,763,1868,.408,164,554,.296,475,659,.721,384,1087,316,257,80,404,605
9,American,32,17,15,.531,-8.26,-7.73,,7,11,,8,6,,9,9,,2093,2110,,1300,785,1630,.482,204,589,.346,319,455,.701,259,970,436,238,126,448,482
10,Appalachian State,32,16,16,.500,-1.50,-0.98,,9,9,,10,7,,6,7,,2248,2067,,1290,819,1854,.442,243,726,.335,367,543,.676,288,1142,417,204,146,352,442
11,Arizona NCAA,35,28,7,.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,1400,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593
12,Arizona State NCAA,36,23,13,.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,1455,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668
13,Arkansas NCAA,36,22,14,.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,1445,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694
14,Arkansas State,33,13,20,.394,-8.07,-3.30,,4,14,,10,8,,2,11,,2169,2232,,1325,777,1799,.432,209,593,.352,406,600,.677,325,1108,433,220,108,385,553
15,Arkansas-Pine Bluff,31,10,21,.323,-12.99,-5.36,,6,12,,8,5,,2,16,,2074,2162,,1250,701,1791,.391,245,776,.316,427,587,.727,314,1071,396,250,86,473,611
16,Army,33,17,16,.515,-7.13,-7.58,,10,8,,10,5,,7,8,,2412,2322,,1330,885,1853,.478,252,718,.351,390,570,.684,280,1132,432,168,70,427,532
17,Auburn NCAA,34,21,13,.618,14.35,9.29,,10,8,,14,2,,4,8,,2474,2302,,1365,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655
18,Austin Peay,31,9,22,.290,-12.17,-2.60,,3,15,,7,8,,1,13,,2067,2241,,1245,743,1790,.415,222,690,.322,359,495,.725,312,972,387,220,94,364,525
19,Ball State,32,20,12,.625,-1.20,-3.50,,11,7,,12,2,,6,7,,2445,2292,,1285,841,1785,.471,240,651,.369,523,759,.689,337,1147,422,176,123,391,525
20,Baylor NCAA,34,23,11,.676,17.30,10.54,,11,7,,14,3,,5,5,,2619,2389,,1365,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590
