Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
1,Abilene Christian,0.433,-2.79,0.9,-0.0249999999999999,96,-0.02,0.008,3,0,0,0,0,0,0,0,0.3125,0.6428571428571429,0.3333333333333333,0.7666666666666667,3.2,2.8333333333333335,9.133333333333333,-2.566666666666667,-3.8,2.2333333333333334,-1.2,3.2333333333333334,3.2333333333333334,-0.9,-5.033333333333333,1.4666666666666666
2,Air Force,0.438,2.0,2.12,0.017,167,0.063,-0.026,-1,0,0,0,0,0,0,0,0.2777777777777778,0.5263157894736842,0.3076923076923077,2.96875,5.21875,-0.25,-2.5625,-2.59375,-2.90625,-2.5,-2.8125,5.25,0.03125,0.875,1.21875,-0.03125
3,Akron,0.667,4.19,-1.65,0.017,176,0.0129999999999999,0.005,7,0,0,0,0,0,0,0,0.7222222222222222,0.9375,0.45454545454545453,2.1515151515151514,5.333333333333333,1.2727272727272727,0.7575757575757576,3.0,3.9696969696969697,1.1818181818181819,2.9393939393939394,2.212121212121212,0.2727272727272727,-0.36363636363636365,-1.121212121212121,-2.393939393939394
4,Alabama,0.838,23.19,9.65,0.071,378,0.052,0.014,13,0,0,0,1,0,0,0,0.8888888888888888,1.0,0.75,4.4324324324324325,10.216216216216216,3.72972972972973,-1.972972972972973,1.6486486486486487,1.864864864864865,0.8648648648648649,7.27027027027027,5.162162162162162,-1.1891891891891893,1.2702702702702702,2.108108108108108,-1.2432432432432432
5,Alabama A&M,0.455,-10.78,-7.71,0.017,-125,0.0289999999999999,-0.0539999999999999,-2,0,0,0,0,0,0,0,0.5555555555555556,0.5294117647058824,0.38461538461538464,-0.7575757575757576,-3.787878787878788,1.2727272727272727,0.7878787878787878,-3.090909090909091,-2.8484848484848486,-1.9696969696969697,-3.0303030303030303,-0.030303030303030304,0.18181818181818182,0.5454545454545454,-0.36363636363636365,1.303030303030303
6,Alabama State,0.258,-16.33,-6.29,-0.061,-30,-0.034,0.0179999999999999,-10,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.1,-1.0,-0.967741935483871,-3.806451612903226,-0.5806451612903226,-0.7096774193548387,-1.5483870967741935,0.3870967741935484,-2.161290322580645,-1.8709677419354838,-1.1612903225806452,-1.3870967741935485,1.1290322580645162,1.4193548387096775
7,Albany (NY),0.258,-14.36,-4.53,-0.077,154,-0.0249999999999999,-0.007,-8,0,0,0,0,0,0,0,0.1875,0.45454545454545453,0.1111111111111111,1.1612903225806452,4.967741935483871,-3.5483870967741935,1.6451612903225807,-2.0,-2.5806451612903225,1.967741935483871,-0.22580645161290322,-2.806451612903226,-0.8064516129032258,-1.935483870967742,1.6129032258064515,2.225806451612903
8,Alcorn State,0.563,-8.74,-5.81,-0.039,-153,-0.034,0.033,-3,0,0,0,0,0,0,0,0.8333333333333334,0.7777777777777778,0.5,-2.15625,-4.78125,-0.46875,3.96875,0.15625,-0.75,1.9375,0.3125,-4.4375,2.3125,-0.90625,-1.84375,1.25
9,American,0.531,-8.26,-7.73,0.0289999999999999,28,-0.039,-0.022,-1,0,0,0,0,0,0,0,0.3888888888888889,0.5714285714285714,0.5,-0.375,0.875,0.96875,-1.09375,-2.09375,-2.46875,-0.5,1.21875,1.3125,-0.8125,1.59375,1.8125,-0.125
10,Appalachian State,0.5,-1.5,-0.98,0.0389999999999999,-3,0.013,-0.0389999999999999,5,0,0,0,0,0,0,0,0.5,0.5882352941176471,0.46153846153846156,0.25,-0.09375,2.0625,-0.5,1.28125,2.71875,-1.0625,-0.3125,1.21875,0.375,2.1875,-1.46875,-2.1875
11,Arizona,0.8,19.08,8.34,0.086,-77,0.0549999999999999,-0.005,10,0,0,0,0,0,0,1,0.7,0.8823529411764706,0.6,0.5142857142857142,-2.2,3.3714285714285714,-4.114285714285714,3.4857142857142858,5.057142857142857,-0.11428571428571428,6.085714285714285,6.257142857142857,-1.8,-0.34285714285714286,1.0571428571428572,-2.2285714285714286
12,Arizona State,0.639,11.29,8.18,0.0219999999999999,33,-0.019,-0.018,3,0,0,0,0,0,0,0,0.55,0.6666666666666666,0.5384615384615384,-0.1388888888888889,0.9166666666666666,2.0555555555555554,1.8611111111111112,-0.8611111111111112,-0.75,-0.7777777777777778,-1.8611111111111112,1.5833333333333333,1.0,1.75,-2.3055555555555554,0.4444444444444444
13,Arkansas,0.611,15.99,9.87,0.042,-36,0.002,-0.016,6,0,0,0,1,0,0,1,0.4444444444444444,0.8235294117647058,0.2,-0.2777777777777778,-1.0,3.1666666666666665,1.8611111111111112,0.05555555555555555,0.6111111111111112,0.6944444444444444,2.3055555555555554,2.2222222222222223,1.6944444444444444,2.1944444444444446,-1.6944444444444444,0.3611111111111111
14,Arkansas State,0.394,-8.07,-3.3,-0.006,-3,-0.015,-0.0659999999999999,-2,0,0,0,0,0,0,0,0.2222222222222222,0.5555555555555556,0.15384615384615385,-0.30303030303030304,-0.09090909090909091,-0.030303030303030304,0.696969696969697,-1.5454545454545454,-0.45454545454545453,0.8181818181818182,0.45454545454545453,1.6666666666666667,0.6363636363636364,-0.12121212121212122,0.09090909090909091,0.12121212121212122
15,Arkansas-Pine Bluff,0.323,-12.99,-5.36,-0.0459999999999999,173,-0.011,0.023,-3,0,0,0,0,0,0,0,0.3333333333333333,0.6153846153846154,0.1111111111111111,1.5483870967741935,5.580645161290323,-1.1935483870967742,3.2903225806451615,-2.0,-3.4838709677419355,0.8709677419354839,-1.8064516129032258,-1.3225806451612903,-0.3870967741935484,-0.6129032258064516,-0.7741935483870968,2.838709677419355
