Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,19,8,11,.421,-3.47,-1.02,,3,5,,5,3,,1,7,,1432,1425,,73.3,101.4,.406,.274,.530,47.0,49.8,10.9,4.4,.484,15.7,26.1,.298
2,Air Force,18,8,10,.444,-1.60,-2.16,,1,5,,4,6,,4,3,,1236,1226,,64.9,104.4,.338,.443,.568,48.9,65.4,10.7,13.4,.544,17.4,24.8,.229
3,Akron,19,15,4,.789,6.20,-0.21,,7,0,,9,0,,5,1,,1455,1245,,67.1,113.4,.338,.431,.578,53.3,52.8,9.5,8.3,.548,14.9,31.7,.245
4,Alabama,19,13,6,.684,23.63,9.90,,5,1,,9,1,,2,2,,1684,1423,,72.7,121.9,.378,.473,.612,54.4,52.0,10.1,11.0,.574,14.9,34.9,.297
5,Alabama A&M,18,3,15,.167,-17.52,-3.30,,2,3,,1,4,,2,9,,1244,1500,,72.5,94.7,.453,.271,.506,47.9,43.2,10.3,11.1,.453,19.6,31.7,.323
6,Alabama State,18,9,9,.500,-8.08,-0.94,,4,1,,4,2,,2,7,,1275,1267,,71.4,98.6,.265,.364,.477,49.8,45.6,13.0,11.9,.441,13.1,31.2,.192
7,Albany (NY),20,10,10,.500,-6.56,-5.77,,2,3,,6,2,,4,7,,1567,1543,,75.2,104.2,.329,.351,.535,51.1,47.3,11.5,7.6,.502,16.4,32.6,.234
8,Alcorn State,18,3,15,.167,-13.83,1.99,,2,3,,2,1,,1,14,,1246,1507,,70.0,98.8,.348,.247,.497,48.5,40.5,10.2,5.2,.462,14.7,32.2,.234
9,American,20,11,9,.550,-7.27,-8.01,,5,2,,7,1,,4,8,,1469,1426,,65.4,111.7,.270,.460,.571,52.6,57.3,10.0,6.0,.547,14.8,30.2,.191
10,Appalachian State,20,16,4,.800,6.35,-2.76,,7,1,,9,0,,4,3,,1552,1274,,69.6,110.1,.299,.352,.545,54.0,52.7,9.2,16.4,.526,13.1,31.5,.193
11,Arizona,19,14,5,.737,26.25,9.04,,5,3,,10,0,,2,3,,1698,1371,,74.7,118.0,.354,.317,.578,58.5,58.7,12.2,8.9,.547,13.9,38.0,.257
12,Arizona State,19,11,8,.579,6.79,8.37,,5,3,,8,1,,2,3,,1317,1347,,71.0,97.6,.353,.382,.508,44.9,49.3,11.9,11.1,.481,13.4,20.6,.226
