Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,15,17,.469,-3.82,-1.18,,10,10,,8,6,,5,9,,2320,2351,,71.3,101.9,.403,.315,.550,52.3,46.6,8.9,7.8,.517,18.3,29.2,.277
2,Air Force,31,9,22,.290,-4.34,1.86,,2,16,,4,12,,5,8,,2051,2243,,63.4,113.2,.391,.367,.580,53.8,49.9,9.0,11.3,.542,15.3,31.5,.292
3,Akron,34,24,10,.706,3.01,-2.52,,13,5,,13,1,,7,6,,2517,2239,,67.0,98.0,.279,.372,.510,46.7,45.9,9.0,7.4,.482,15.1,25.3,.191
4,Alabama,32,21,11,.656,21.10,11.42,,13,5,,14,2,,5,5,,2904,2594,,74.2,108.4,.396,.367,.544,47.0,45.1,9.9,12.6,.499,13.6,30.0,.294
5,Alabama A&M,33,11,22,.333,-14.66,-7.57,,9,9,,7,5,,3,14,,2267,2501,,71.8,105.2,.464,.369,.546,50.4,54.3,13.1,8.5,.493,17.1,32.7,.347
6,Alabama State,32,13,19,.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,69.7,98.1,.420,.415,.529,49.9,53.4,8.7,11.7,.482,18.2,28.1,.305
7,Albany (NY),32,13,19,.406,-6.48,-5.09,,5,11,,8,5,,5,13,,2517,2521,,74.6,105.2,.383,.296,.549,50.0,46.3,9.8,11.4,.510,15.3,29.0,.278
8,Alcorn State,32,14,18,.438,-11.59,-5.62,,13,5,,7,3,,7,14,,2300,2477,,68.3,112.9,.366,.455,.580,48.6,59.5,9.2,9.5,.548,15.0,30.3,.266
9,American,32,16,16,.500,-8.76,-8.60,,10,8,,8,7,,8,9,,2200,2176,,63.1,106.9,.298,.430,.559,48.4,51.9,7.9,8.2,.535,15.1,25.2,.206
10,Appalachian State,33,27,6,.818,6.43,-2.57,,16,2,,15,0,,8,4,,2589,2196,,69.2,94.0,.204,.329,.462,46.4,40.6,9.9,5.6,.437,12.7,27.3,.139
