Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,15,17,.469,-3.82,-1.18,,10,10,,8,6,,5,9,,2320,2351,,1295,811,1877,.432,165,484,.341,533,729,.731,314,1070,405,253,65,404,634
2,Air Force,31,9,22,.290,-4.34,1.86,,2,16,,4,12,,5,8,,2051,2243,,1250,727,1604,.453,273,757,.361,324,475,.682,225,872,451,202,122,372,541
3,Akron,34,24,10,.706,3.01,-2.52,,13,5,,13,1,,7,6,,2517,2239,,1365,890,1952,.456,274,835,.328,463,636,.728,354,1252,447,192,99,389,563
4,Alabama,32,21,11,.656,21.10,11.42,,13,5,,14,2,,5,5,,2904,2594,,1290,989,2073,.477,354,969,.365,572,730,.784,407,1267,515,232,133,383,636
5,Alabama A&M,33,11,22,.333,-14.66,-7.57,,9,9,,7,5,,3,14,,2267,2501,,1325,753,1806,.417,139,488,.285,622,865,.719,373,1170,344,251,127,534,695
6,Alabama State,32,13,19,.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,1303,772,2087,.370,223,793,.281,428,592,.723,453,1265,345,277,123,361,609
7,Albany (NY),32,13,19,.406,-6.48,-5.09,,5,11,,8,5,,5,13,,2517,2521,,1285,918,2059,.446,250,757,.330,431,594,.726,364,1153,411,266,101,425,621
8,Alcorn State,32,14,18,.438,-11.59,-5.62,,13,5,,7,3,,7,14,,2300,2477,,1285,818,1851,.442,166,492,.337,498,699,.712,360,1086,371,220,56,370,567
9,American,32,16,16,.500,-8.76,-8.60,,10,8,,8,7,,8,9,,2200,2176,,1291,782,1740,.449,279,794,.351,355,492,.722,287,1043,449,186,54,347,527
10,Appalachian State,33,27,6,.818,6.43,-2.57,,16,2,,15,0,,8,4,,2589,2196,,1350,966,2033,.475,217,647,.335,440,649,.678,366,1385,484,205,226,355,429
11,Arizona,33,25,8,.758,25.34,9.64,,15,5,,15,1,,7,4,,2902,2384,,1345,1041,2129,.489,258,695,.371,562,782,.719,437,1407,615,273,115,397,539
12,Arizona State,32,14,18,.438,4.87,9.84,,8,12,,10,5,,3,8,,2209,2368,,1285,791,1901,.416,215,716,.300,412,629,.655,269,1064,385,263,117,335,532
13,Arkansas,33,16,17,.485,6.37,8.40,,6,12,,12,6,,2,7,,2566,2633,,1340,859,1898,.453,199,625,.318,649,859,.756,281,1139,387,198,201,395,655
14,Arkansas State,34,18,16,.529,0.53,-1.06,,11,7,,10,3,,5,11,,2677,2623,,1365,934,2117,.441,321,921,.349,488,693,.704,440,1298,492,190,150,386,600
15,Arkansas-Pine Bluff,31,13,18,.419,-15.62,-7.66,,8,10,,8,6,,5,12,,2483,2536,,1240,813,1821,.446,337,898,.375,520,682,.762,261,1073,467,183,67,413,568
16,Army,32,10,22,.313,-14.46,-8.72,,6,12,,6,11,,4,11,,1930,2059,,1295,707,1747,.405,252,788,.320,264,449,.588,308,1088,401,184,126,389,506
17,Auburn,34,27,7,.794,23.33,8.03,,13,5,,15,1,,5,5,,2833,2313,,1360,983,2068,.475,273,775,.352,594,790,.752,384,1288,611,252,212,360,653
18,Austin Peay,34,19,15,.559,-5.25,-4.25,,10,6,,14,2,,4,12,,2548,2480,,1385,917,2038,.450,271,739,.367,443,630,.703,367,1159,378,240,94,297,598
19,Ball State,31,15,16,.484,-6.48,-5.72,,7,11,,9,7,,6,8,,2280,2200,,1255,769,1726,.446,232,641,.362,510,665,.767,294,1082,385,170,96,374,469
20,Baylor,33,23,10,.697,20.21,11.40,,11,7,,15,2,,4,5,,2658,2350,,1350,913,1890,.483,279,719,.388,553,751,.736,377,1163,490,222,106,399,546
21,Bellarmine,31,8,23,.258,-11.43,-2.11,,4,12,,6,7,,2,16,,2153,2320,,1250,797,1837,.434,238,698,.341,321,412,.779,245,1002,420,164,60,297,486
22,Belmont,33,20,13,.606,2.92,1.58,,12,8,,12,2,,6,9,,2570,2493,,1325,922,1939,.476,301,811,.371,425,588,.723,237,1130,504,248,101,402,511
23,Bethune-Cookman,33,17,16,.515,-12.17,-9.10,,11,7,,11,2,,5,11,,2394,2381,,1335,825,1922,.429,194,608,.319,550,728,.755,347,1111,402,342,112,465,675
24,Binghamton,30,15,15,.500,-9.13,-5.06,,7,9,,10,4,,5,11,,2163,2167,,1210,801,1738,.461,164,536,.306,397,595,.667,313,1156,435,150,113,366,498
25,Boise State,32,22,10,.688,13.82,7.42,,13,5,,13,3,,7,3,,2426,2161,,1290,835,1846,.452,256,741,.345,500,680,.735,365,1190,400,184,77,357,533
26,Boston College,34,19,15,.559,9.43,6.96,,8,12,,10,6,,6,6,,2535,2451,,1370,931,2035,.457,283,784,.361,390,520,.750,318,1198,483,204,120,361,538
27,Boston University,33,16,17,.485,-9.74,-8.30,,10,8,,9,7,,7,10,,2193,2198,,1335,768,1856,.414,254,763,.333,403,562,.717,309,1167,427,216,102,384,571
28,Bowling Green State,33,20,13,.606,-4.80,-5.48,,10,8,,12,4,,5,7,,2427,2337,,1345,854,1987,.430,211,710,.297,508,712,.713,379,1259,369,215,91,378,523
29,Bradley,33,22,11,.667,9.68,2.58,,13,7,,13,3,,6,6,,2461,2212,,1335,895,1887,.474,297,797,.373,374,518,.722,309,1148,441,239,135,400,553
30,Brigham Young,33,23,10,.697,20.35,8.41,,10,8,,16,2,,3,7,,2701,2307,,1320,970,2098,.462,370,1063,.348,391,530,.738,394,1308,613,196,99,352,584
31,Brown,31,13,18,.419,-3.38,-1.52,,8,6,,5,7,,6,8,,2212,2227,,1261,782,1818,.430,254,745,.341,394,603,.653,367,1154,417,196,131,385,519
32,Bryant,33,20,13,.606,-2.86,-3.35,,11,5,,11,3,,8,10,,2598,2488,,1330,954,2087,.457,273,806,.339,417,623,.669,259,1246,487,230,213,393,557
33,Bucknell,33,14,19,.424,-8.11,-6.17,,10,8,,6,8,,8,11,,2153,2217,,1335,758,1770,.428,269,795,.338,368,514,.716,276,1073,399,202,113,405,559
34,Buffalo,31,4,27,.129,-14.88,-2.58,,2,16,,2,13,,2,12,,2108,2471,,1245,770,1830,.421,207,746,.277,361,504,.716,323,1082,415,188,141,450,484
35,Butler,32,18,14,.563,12.22,9.42,,9,11,,12,5,,4,7,,2472,2359,,1310,894,1977,.452,268,758,.354,416,525,.792,298,1128,480,199,106,347,443
36,Cal Poly,32,4,28,.125,-13.27,-1.91,,0,20,,3,11,,0,16,,2037,2371,,1295,719,1778,.404,198,598,.331,401,569,.705,283,1000,314,173,117,405,614
37,Cal State Bakersfield,32,13,19,.406,-5.07,-1.87,,8,12,,10,4,,2,13,,2199,2214,,1295,807,1861,.434,150,476,.315,435,602,.723,382,1109,335,220,114,389,652
38,Cal State Fullerton,32,14,18,.438,-4.75,-0.75,,7,13,,7,7,,6,10,,2172,2212,,1285,740,1717,.431,207,627,.330,485,685,.708,269,1048,284,214,98,393,571
39,Cal State Northridge,34,19,15,.559,-4.45,-3.80,,9,11,,9,7,,9,7,,2551,2503,,1365,940,2065,.455,165,537,.307,506,757,.668,402,1362,472,253,114,481,707
40,California,32,13,19,.406,5.23,8.29,,9,11,,10,6,,3,8,,2367,2465,,1310,833,1980,.421,281,831,.338,420,578,.727,343,1189,387,193,83,370,552
41,California Baptist,33,16,17,.485,-2.38,-2.32,,8,12,,11,7,,4,9,,2222,2197,,1330,762,1857,.410,220,674,.326,478,700,.683,397,1241,372,133,87,392,524
42,Campbell,32,14,18,.438,-10.45,-5.48,,8,10,,11,6,,3,11,,2272,2307,,1295,806,1740,.463,232,673,.345,428,590,.725,246,1040,425,202,77,383,485
43,Canisius,32,14,18,.438,-7.71,-4.64,,8,12,,8,4,,3,12,,2252,2307,,1290,841,1910,.440,232,690,.336,338,541,.625,384,1181,401,192,111,432,520
44,Central Arkansas,32,9,23,.281,-15.34,-5.27,,5,11,,5,10,,4,13,,2309,2502,,1285,817,1965,.416,256,747,.343,419,566,.740,359,1165,437,225,105,407,548
45,Central Connecticut State,31,20,11,.645,-8.05,-10.05,,13,3,,11,4,,9,7,,2237,2061,,1250,810,1798,.451,208,645,.322,409,577,.709,298,1111,444,232,150,349,423
46,Central Michigan,32,18,14,.563,-7.84,-3.36,,12,6,,10,3,,7,9,,2127,2242,,1315,790,1880,.420,200,660,.303,347,526,.660,339,1162,364,192,119,384,527
47,Charleston Southern,30,10,20,.333,-11.88,-1.43,,6,10,,7,7,,3,12,,2028,2210,,1200,715,1727,.414,208,629,.331,390,530,.736,301,1066,306,115,90,366,512
48,Charlotte,31,19,12,.613,4.37,2.70,,13,5,,13,2,,5,7,,2131,2034,,1250,748,1655,.452,201,635,.317,434,576,.753,260,1006,407,168,105,301,479
49,Chattanooga,33,21,12,.636,-0.04,-3.68,,12,6,,12,4,,8,7,,2581,2362,,1335,892,1915,.466,349,971,.359,448,601,.745,305,1206,447,208,121,393,524
50,Chicago State,30,12,18,.400,-9.72,-2.98,,,,,6,5,,5,12,,2073,2106,,1205,716,1697,.422,188,595,.316,453,640,.708,366,1010,334,261,98,405,525
51,Cincinnati,34,20,14,.588,15.56,8.83,,7,11,,14,5,,4,7,,2537,2308,,1375,939,2125,.442,249,769,.324,410,592,.693,464,1344,501,226,150,409,519
52,Clemson,32,21,11,.656,14.91,8.81,,11,9,,12,4,,6,6,,2477,2282,,1290,878,1877,.468,267,755,.354,454,575,.790,295,1166,469,144,126,325,505
53,Cleveland State,34,20,14,.588,-2.91,-4.45,,11,9,,14,3,,6,10,,2592,2480,,1370,956,2119,.451,222,660,.336,458,680,.674,437,1195,454,280,134,352,632
54,Coastal Carolina,31,9,22,.290,-10.19,-2.60,,5,13,,7,12,,1,9,,2280,2434,,1250,835,1880,.444,201,626,.321,409,616,.664,353,1250,395,178,97,420,496
55,Colgate,34,25,9,.735,0.06,-6.09,,16,2,,13,3,,10,5,,2431,2150,,1360,903,1922,.470,267,739,.361,358,526,.681,277,1221,515,217,119,360,456
56,College of Charleston,34,27,7,.794,4.19,-2.87,,15,3,,13,2,,10,2,,2736,2466,,1365,974,2200,.443,358,1039,.345,430,597,.720,440,1350,520,211,105,338,536
57,Colorado,34,24,10,.706,16.01,7.89,,13,7,,16,1,,4,7,,2696,2420,,1375,963,1953,.493,234,594,.394,536,689,.778,345,1277,540,202,73,431,505
58,Colorado State,34,24,10,.706,13.46,7.37,,10,8,,15,2,,4,7,,2596,2324,,1370,937,1919,.488,253,743,.341,469,622,.754,264,1118,627,222,109,344,580
59,Columbia,27,13,14,.481,-5.24,-3.53,,4,10,,9,6,,4,8,,2078,1956,,1080,749,1597,.469,231,616,.375,349,477,.732,265,964,471,209,62,330,437
60,Connecticut,34,31,3,.912,24.71,7.65,,18,2,,16,0,,9,3,,2770,2190,,1360,989,1994,.496,299,815,.367,493,664,.742,395,1308,630,212,183,335,552
61,Coppin State,29,2,27,.069,-21.38,-6.42,,1,13,,2,8,,0,17,,1678,2112,,1170,585,1571,.372,153,540,.283,355,489,.726,283,873,240,222,81,455,513
62,Cornell,29,22,7,.759,3.62,-1.93,,11,3,,10,1,,10,5,,2380,2153,,1160,862,1769,.487,298,859,.347,358,496,.722,281,1031,518,244,76,357,529
63,Creighton,32,23,9,.719,20.02,9.21,,14,6,,14,2,,8,5,,2577,2231,,1305,935,1922,.486,339,939,.361,368,471,.781,266,1214,548,127,132,338,362
64,Dartmouth,27,6,21,.222,-13.83,-1.15,,2,12,,6,7,,0,14,,1670,1940,,1080,594,1447,.411,191,626,.305,291,422,.690,200,898,332,120,95,344,374
65,Davidson,32,15,17,.469,3.83,3.50,,5,13,,9,7,,4,8,,2242,2174,,1300,783,1816,.431,235,749,.314,441,602,.733,295,1109,403,207,112,338,511
66,Dayton,31,24,7,.774,13.55,5.10,,14,4,,15,0,,6,5,,2317,2055,,1245,786,1647,.477,295,734,.402,450,613,.734,254,1046,458,167,124,317,416
67,Delaware,33,19,14,.576,-1.49,-4.11,,10,8,,8,5,,8,6,,2416,2299,,1325,891,1917,.465,227,678,.335,407,576,.707,304,1178,454,178,100,356,496
68,Delaware State,33,15,18,.455,-10.46,-7.85,,6,8,,7,5,,4,11,,2335,2336,,1345,825,1906,.433,156,485,.322,529,751,.704,380,1140,399,277,64,486,557
69,Denver,34,17,17,.500,-7.02,-4.46,,6,10,,10,4,,4,11,,2755,2737,,1385,946,2103,.450,294,845,.348,569,779,.730,348,1213,444,211,132,340,573
70,DePaul,32,3,29,.094,-6.34,10.69,,0,20,,3,15,,0,11,,2071,2616,,1280,725,1714,.423,200,597,.335,421,574,.733,233,951,392,168,99,435,482
71,Detroit Mercy,32,1,31,.031,-16.71,-2.43,,1,19,,1,11,,0,20,,2111,2568,,1290,761,1806,.421,187,666,.281,402,547,.735,286,945,346,222,78,427,553
72,Drake,34,28,6,.824,11.19,1.53,,16,4,,16,0,,6,5,,2736,2397,,1395,967,2020,.479,295,804,.367,507,667,.760,270,1170,541,219,53,329,549
73,Drexel,32,20,12,.625,1.35,-3.42,,13,5,,13,1,,6,10,,2346,2130,,1295,861,1886,.457,216,628,.344,408,565,.722,369,1253,406,161,127,346,491
74,Duke,32,24,8,.750,20.23,7.82,,15,5,,15,3,,7,4,,2555,2158,,1280,913,1896,.482,267,708,.377,462,640,.722,337,1169,493,206,118,311,505
75,Duquesne,35,24,11,.686,7.52,4.05,,10,8,,13,4,,5,6,,2477,2311,,1400,870,1993,.437,267,786,.340,470,655,.718,370,1231,470,266,152,413,600
76,East Carolina,33,15,18,.455,-0.35,1.58,,7,11,,11,9,,3,7,,2287,2319,,1330,803,1903,.422,218,696,.313,463,669,.692,393,1154,406,260,92,358,516
77,East Tennessee State,35,19,16,.543,-2.94,-2.57,,8,10,,10,4,,5,11,,2502,2435,,1405,866,2131,.406,272,876,.311,498,730,.682,486,1350,399,269,163,433,638
78,Eastern Illinois,32,14,18,.438,-11.29,-6.18,,8,10,,9,6,,4,11,,2204,2172,,1280,822,1951,.421,179,560,.320,381,521,.731,349,1131,413,258,95,331,567
79,Eastern Kentucky,31,17,14,.548,-5.11,-4.19,,12,4,,13,4,,4,10,,2504,2371,,1245,917,1993,.460,243,678,.358,427,628,.680,410,1244,453,196,190,356,502
80,Eastern Michigan,31,13,18,.419,-12.53,-4.84,,6,12,,9,6,,4,11,,2047,2252,,1255,783,1825,.429,178,585,.304,303,454,.667,321,1069,321,179,77,361,508
81,Eastern Washington,32,21,11,.656,-0.59,-2.56,,15,3,,11,1,,10,9,,2586,2407,,1285,894,1783,.501,273,749,.364,525,681,.771,258,1083,562,191,115,422,579
82,Elon,32,13,19,.406,-11.24,-5.27,,6,12,,8,6,,3,12,,2339,2413,,1280,824,1848,.446,275,781,.352,416,588,.707,331,1082,418,201,85,379,503
83,Evansville,33,16,17,.485,-3.39,0.93,,6,14,,10,5,,4,11,,2360,2428,,1330,866,1933,.448,224,664,.337,404,559,.723,259,1121,431,208,103,377,498
