Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,22,8,14,.364,-4.81,-0.76,,3,8,,5,5,,1,8,,1624,1658,,895,575,1256,.458,135,407,.332,373,535,.697,233,848,257,143,81,342,434
2,Air Force,22,8,14,.364,-3.38,-0.38,,1,9,,4,8,,4,5,,1498,1564,,890,539,1179,.457,171,458,.373,315,429,.734,214,714,286,129,67,257,366
3,Akron,23,18,5,.783,6.41,-1.50,,10,1,,11,0,,6,2,,1745,1478,,925,545,1291,.422,144,477,.302,244,362,.674,201,721,261,141,57,286,396
4,Alabama,23,16,7,.696,23.83,10.57,,8,2,,11,1,,3,3,,2058,1753,,920,604,1416,.427,164,520,.315,381,533,.715,263,784,272,179,94,277,464
5,Alabama A&M,22,5,17,.227,-17.17,-5.03,,4,5,,3,4,,2,11,,1534,1801,,885,583,1281,.455,185,489,.378,450,609,.739,271,828,329,212,74,308,443
6,Alabama State,22,11,11,.500,-8.95,-3.53,,6,3,,5,3,,3,8,,1534,1522,,888,497,1202,.413,172,531,.324,356,503,.708,211,863,274,136,92,334,353
7,Albany (NY),24,11,13,.458,-7.90,-5.55,,3,6,,6,3,,5,9,,1871,1886,,960,688,1476,.466,118,417,.283,392,544,.721,244,867,323,181,110,311,394
8,Alcorn State,22,5,17,.227,-13.47,-0.66,,4,5,,2,3,,3,14,,1529,1790,,880,603,1276,.473,239,612,.391,345,475,.726,239,758,375,144,97,256,392
9,American,24,13,11,.542,-7.75,-8.01,,7,4,,8,3,,5,8,,1710,1675,,970,602,1306,.461,205,561,.365,266,388,.686,191,737,302,116,57,261,391
10,Appalachian State,24,19,5,.792,5.21,-2.70,,10,2,,10,0,,6,4,,1856,1568,,975,591,1543,.383,156,514,.304,230,338,.680,270,876,254,165,56,267,393
11,Arizona,23,18,5,.783,26.21,9.73,,9,3,,12,0,,4,3,,2063,1684,,945,618,1454,.425,199,571,.349,249,357,.697,202,742,338,161,80,329,447
12,Arizona State,23,11,12,.478,5.04,8.48,,5,7,,8,3,,2,5,,1586,1665,,920,600,1362,.441,175,533,.328,290,411,.706,249,953,333,125,60,325,389
13,Arkansas,22,11,11,.500,5.21,7.26,,2,7,,9,4,,1,4,,1670,1715,,890,595,1383,.430,176,493,.357,349,481,.726,244,810,292,141,63,238,462
14,Arkansas State,24,10,14,.417,-1.49,-1.70,,6,6,,7,3,,2,10,,1890,1885,,965,658,1459,.451,132,388,.340,437,578,.756,266,884,278,187,103,237,416
15,Arkansas-Pine Bluff,22,10,12,.455,-14.95,-4.45,,5,4,,6,3,,4,9,,1818,1845,,880,665,1424,.467,171,541,.316,344,479,.718,267,842,388,151,77,276,412
16,Army,24,7,17,.292,-12.81,-7.72,,3,8,,4,8,,3,9,,1455,1524,,970,546,1277,.428,155,489,.317,277,400,.693,199,808,301,176,73,268,362
17,Auburn,23,19,4,.826,22.46,5.89,,8,2,,12,0,,3,3,,1911,1530,,920,508,1339,.379,144,481,.299,370,502,.737,259,786,231,146,69,316,431
18,Austin Peay,25,12,13,.480,-5.69,-2.97,,5,5,,9,1,,2,11,,1778,1739,,1015,616,1373,.449,161,530,.304,346,494,.700,257,900,318,113,73,310,366
19,Ball State,23,12,11,.522,-4.79,-4.75,,4,7,,8,5,,4,5,,1734,1633,,930,596,1324,.450,159,472,.337,282,395,.714,204,742,278,138,70,269,444
20,Baylor,22,17,5,.773,20.28,8.09,,6,3,,12,1,,2,2,,1842,1560,,905,570,1266,.450,147,438,.336,273,384,.711,212,655,286,142,74,288,435
21,Bellarmine,25,6,19,.240,-11.14,-0.42,,2,8,,4,6,,2,13,,1725,1867,,1005,666,1464,.455,223,650,.343,312,434,.719,244,904,334,119,74,253,346
22,Belmont,24,13,11,.542,-0.35,2.39,,6,7,,9,2,,3,8,,1841,1870,,965,685,1481,.463,206,609,.338,294,404,.728,237,867,378,165,68,308,395
23,Bethune-Cookman,22,10,12,.455,-12.76,-7.86,,5,4,,7,2,,3,8,,1640,1630,,885,526,1236,.426,163,474,.344,415,572,.726,254,797,313,198,61,385,389
24,Binghamton,22,11,11,.500,-9.89,-4.29,,3,6,,8,2,,3,9,,1568,1570,,885,555,1328,.418,168,512,.328,292,411,.710,208,739,251,154,92,202,377
