Rk,School,Conf,Unnamed: 3,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10,SOS,Unnamed: 12,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Houston,Big 12,,4.0,17,2,73.9,51.9,22.05,,6.2,,5.1,23.15,28.25,120.16,77.18,42.98
2,Purdue,Big Ten,,2.0,18,2,85.8,69.3,16.5,,10.45,,15.98,10.97,26.95,126.61,89.48,37.13
3,Arizona,Pac-12,,9.0,14,5,89.4,72.2,17.21,,9.04,,19.85,6.4,26.25,122.54,87.98,34.57
4,Brigham Young,Big 12,,21.0,14,5,84.4,65.4,19.0,,4.87,,14.28,9.59,23.87,122.3,89.03,33.27
5,Alabama,SEC,,,13,6,88.6,74.9,13.74,,9.9,,20.54,3.1,23.63,127.35,94.34,33.0
6,Iowa State,Big 12,,23.0,15,4,80.5,61.1,19.47,,3.24,,10.82,11.9,22.72,117.61,86.11,31.5
7,Tennessee,SEC,,5.0,14,4,79.7,66.3,13.44,,9.17,,10.66,11.96,22.61,117.46,85.84,31.61
8,North Carolina,ACC,,3.0,16,3,83.5,69.1,14.47,,7.99,,14.22,8.25,22.47,119.44,88.66,30.78
9,Auburn,SEC,,8.0,16,3,83.3,66.0,17.26,,4.58,,13.22,8.62,21.85,120.82,90.26,30.56
10,Baylor,Big 12,,15.0,14,4,84.1,69.2,14.94,,5.96,,12.97,7.28,20.25,124.47,95.74,28.73
11,Connecticut,Big East,,1.0,17,2,81.1,64.6,16.47,,3.6,,9.39,10.68,20.07,123.3,94.85,28.45
12,Illinois,Big Ten,,10.0,14,5,82.7,69.0,13.74,,6.08,,14.33,5.48,19.81,120.26,93.14,27.12
13,Creighton,Big East,,17.0,15,5,79.5,67.5,12.0,,7.48,,10.18,9.3,19.48,119.54,91.96,27.57
14,Duke,ACC,,12.0,14,4,81.7,67.0,14.72,,4.07,,11.64,7.16,18.8,122.69,95.71,26.98
15,Wisconsin,Big Ten,,13.0,16,4,76.0,66.9,9.1,,9.52,,8.9,9.72,18.62,123.62,95.68,27.94
16,Michigan State,Big Ten,,,12,8,75.7,66.0,9.7,,8.61,,6.09,12.22,18.31,116.08,90.89,25.19
17,Marquette,Big East,,14.0,14,5,77.6,68.2,9.47,,8.83,,9.78,8.52,18.3,117.32,91.88,25.44
18,Utah,Pac-12,,,14,6,79.0,70.1,8.9,,8.84,,11.45,6.29,17.74,118.03,93.22,24.81
19,Kansas,Big 12,,7.0,16,3,79.2,67.7,11.47,,6.89,,9.81,7.69,17.5,117.54,93.22,24.32
20,Kentucky,SEC,,6.0,14,4,89.9,77.3,12.61,,4.78,,19.87,-2.48,17.39,122.06,98.72,23.35
21,Colorado,Pac-12,,,15,5,81.9,70.8,11.1,,5.74,,10.94,5.9,16.84,118.46,95.32,23.14
22,New Mexico,MWC,,25.0,17,3,84.2,69.5,14.75,,3.04,,13.69,3.13,16.83,114.3,92.01,22.29
