Team,Conference
Baylor,Big 12
Houston,Big 12
Oklahoma,Big 12
Kansas,Big 12
Brigham Young,Big 12
Cincinnati,Big 12
TCU,Big 12
Iowa State,Big 12
Kansas State,Big 12
Texas,Big 12
Texas Tech,Big 12
Central Florida,Big 12
Oklahoma State,Big 12
West Virginia,Big 12
Northwestern,Big Ten
Illinois,Big Ten
Indiana,Big Ten
Wisconsin,Big Ten
Purdue,Big Ten
Nebraska,Big Ten
Ohio State,Big Ten
Minnesota,Big Ten
Maryland,Big Ten
Michigan,Big Ten
Penn State,Big Ten
Rutgers,Big Ten
Iowa,Big Ten
Michigan State,Big Ten
Duke,ACC
Clemson,ACC
Virginia,ACC
Miami (FL),ACC
North Carolina,ACC
NC State,ACC
Virginia Tech,ACC
Georgia Tech,ACC
Wake Forest,ACC
Boston College,ACC
Pittsburgh,ACC
Syracuse,ACC
Florida State,ACC
Louisville,ACC
Notre Dame,ACC
Mississippi,SEC
South Carolina,SEC
Kentucky,SEC
Mississippi State,SEC
Auburn,SEC
Missouri,SEC
Texas A&M,SEC
Alabama,SEC
Florida,SEC
Georgia,SEC
Tennessee,SEC
Arkansas,SEC
Louisiana State,SEC
Vanderbilt,SEC
Connecticut,Big East
Creighton,Big East
Butler,Big East
Marquette,Big East
Providence,Big East
St. John's (NY),Big East
Villanova,Big East
Georgetown,Big East
Seton Hall,Big East
Xavier,Big East
DePaul,Big East
