Game,Next
E1,E9
E2,E9
E3,E10
E4,E10
E5,E11
E6,E11
E7,E12
E8,E12
W1,W9
W2,W9
W3,W10
W4,W10
W5,W11
W6,W11
W7,W12
W8,W12
MW1,MW9
MW2,MW9
MW3,MW10
MW4,MW10
MW5,MW11
MW6,MW11
MW7,MW12
MW8,MW12
S1,S9
S2,S9
S3,S10
S4,S10
S5,S11
S6,S11
S7,S12
S8,S12
E9,E13
E10,E13
E11,E14
E12,E14
W9,W13
W10,W13
W11,W14
W12,W14
MW9,MW13
MW10,MW13
MW11,MW14
MW12,MW14
S9,S13
S10,S13
S11,S14
S12,S14
E13,E15
E14,E15
W13,W15
W14,W15
MW13,MW15
MW14,MW15
S13,S15
S14,S15
E15,F1
W15,F1
MW15,F2
S15,F2
F1,Final
F2,Final
Final,Champion
