Id,Year,Game,GameNum,Result
2021.Play-in,2021,Play-in,1,Game Play-in - UCLA beats Michigan State by 11.619133369903324
2021.Play-in,2021,Play-in,2,Game Play-in - Mount St. Mary's beats Texas Southern by 5.583422700986603
2021.Play-in,2021,Play-in,3,Game Play-in - Drake beats Wichita State by 2.4292119053380654
2021.Play-in,2021,Play-in,4,Game Play-in - Appalachian State beats Norfolk State by 9.288319328265697
2021.MW1,2021,MW1,5,Game MW1 - Illinois beats Drexel by 15.629185513324783
2021.S1,2021,S1,6,Game S1 - Baylor beats Hartford by 22.739144638484003
2021.MW8,2021,MW8,7,Game MW8 - Houston beats Cleveland State by 26.504731846161743
2021.S8,2021,S8,8,Game S8 - Ohio State beats Oral Roberts by 15.267944062401615
2021.S6,2021,S6,9,Game S6 - Arkansas beats Colgate by 5.567439946158508
2021.MW4,2021,MW4,10,Game MW4 - Oklahoma State beats Liberty by 12.630668086166237
2021.MW6,2021,MW6,11,Game MW6 - West Virginia beats Morehead State by 19.527896756212826
2021.MW5,2021,MW5,12,Game MW5 - San Diego State beats Syracuse by 1.574918678182333
2021.MW2,2021,MW2,13,Game MW2 - Loyola (IL) beats Georgia Tech by 4.066422797464995
2021.S3,2021,S3,14,Game S3 - Villanova beats Winthrop by 9.169335620742094
2021.S4,2021,S4,15,Game S4 - Purdue beats North Texas by 5.024994062134917
2021.S5,2021,S5,16,Game S5 - Texas Tech beats Utah State by 7.435267918496328
2021.S7,2021,S7,17,Game S7 - Florida beats Virginia Tech by 4.69006210523572
2021.MW3,2021,MW3,18,Game MW3 - Tennessee beats Oregon State by 0.5358594498419971
2021.S2,2021,S2,19,Game S2 - Wisconsin beats North Carolina by 7.089519565319764
2021.MW7,2021,MW7,20,Game MW7 - Rutgers beats Clemson by 0.5214814446837602
2021.W6,2021,W6,21,Game W6 - Kansas beats Eastern Kentucky by 14.827479190361514
2021.W1,2021,W1,22,Game W1 - Gonzaga beats Norfolk State by 29.823404561149296
2021.E1,2021,E1,23,Game E1 - Michigan beats Texas Southern by 26.397482230873422
2021.E8,2021,E8,24,Game E8 - Alabama beats Iona by 10.98349803261602
2021.W8,2021,W8,25,Game W8 - Iowa beats Grand Canyon by 10.595466629557981
2021.E6,2021,E6,26,Game E6 - Texas beats Abilene Christian by 8.533760908102925
2021.E4,2021,E4,27,Game E4 - Florida State beats UNC Greensboro by 7.754388187576656
2021.W4,2021,W4,28,Game W4 - Virginia beats Ohio by 10.974950973585521
2021.W3,2021,W3,29,Game W3 - Creighton beats UC Santa Barbara by 5.177668758952981
2021.E3,2021,E3,30,Game E3 - Colorado beats Georgetown by 6.059930123975001
2021.W5,2021,W5,31,Game W5 - Southern California beats Drake by 9.497498015626318
2021.E6,2021,E6,32,Game E6 - UCLA beats Brigham Young by 10.455983282300354
2021.E2,2021,E2,33,Game E2 - Louisiana State beats St. Bonaventure by 4.754015273086472
2021.E7,2021,E7,34,Game E7 - Connecticut beats Maryland by 1.9063486119456086
2021.W2,2021,W2,35,Game W2 - Missouri beats Oklahoma by 0.188531775604947
2021.W7,2021,W7,36,Game W7 - Oregon beats Virginia Commonwealth by 7.71307382766781
2021.MW9,2021,MW9,37,Game MW9 - Illinois beats Loyola (IL) by 1.308710775174857
2021.S9,2021,S9,38,Game S9 - Baylor beats Wisconsin by 14.539931158812255
2021.MW12,2021,MW12,39,Game MW12 - Houston beats Rutgers by 11.881795800729474
2021.S12,2021,S12,40,Game S12 - Ohio State beats Florida by 9.575531033998852
2021.S11,2021,S11,41,Game S11 - Arkansas beats Texas Tech by 0.27534153077709483
2021.MW10,2021,MW10,42,Game MW10 - Tennessee beats Oklahoma State by 3.826948218887159
2021.MW11,2021,MW11,43,Game MW11 - West Virginia beats San Diego State by 3.3509820167441484
2021.S10,2021,S10,44,Game S10 - Purdue beats Villanova by 7.478621747626906
2021.W11,2021,W11,45,Game W11 - Southern California beats Kansas by 0.4620999490055568
2021.W9,2021,W9,46,Game W9 - Gonzaga beats Missouri by 13.816599137551625
2021.E9,2021,E9,47,Game E9 - Michigan beats Louisiana State by 17.556248509538406
2021.E12,2021,E12,48,Game E12 - Alabama beats Connecticut by 4.5702862749596695
2021.W12,2021,W12,49,Game W12 - Iowa beats Oregon by 3.7210977658049713
2021.E11,2021,E11,50,Game E11 - Texas beats UCLA by 2.8408509452461184
2021.E10,2021,E10,51,Game E10 - Florida State beats Colorado by 0.8446240212812722
2021.W10,2021,W10,52,Game W10 - Creighton beats Virginia by 0.2468683798290932
2021.MW13,2021,MW13,53,Game MW13 - Illinois beats Tennessee by 7.99479537587765
2021.S13,2021,S13,54,Game S13 - Baylor beats Purdue by 15.439131586689328
2021.MW14,2021,MW14,55,Game MW14 - Houston beats West Virginia by 11.447439527614563
