Ranking,TeamName,Score,Conference,W,L,SRS,APRank,OSRS,DSRS,RankDate
1,Houston,353,Big 12,30,4,26.35,1,5.94,20.41,2024-03-18
2,Iowa State,352,Big 12,27,7,23.01,6,7.96,15.05,2024-03-18
3,Purdue,352,Big Ten,29,4,24.77,3,15.55,9.22,2024-03-18
4,Arizona,349,-,25,8,25.34,5,19.5,5.84,2024-03-18
5,Baylor,349,Big 12,23,10,20.21,11,13.25,6.97,2024-03-18
6,Tennessee,347,SEC,24,8,21.79,4,10.27,11.52,2024-03-18
7,Gonzaga,344,-,25,7,17.3,19,12.59,4.71,2024-03-18
8,Auburn,342,SEC,27,7,23.33,13,13.85,9.48,2024-03-18
9,Connecticut,341,Big East,31,3,24.71,2,11.94,12.77,2024-03-18
10,Duke,341,ACC,24,8,20.23,9,11.1,9.13,2024-03-18
11,Marquette,341,Big East,25,9,19.57,8,11.48,8.09,2024-03-18
12,Kentucky,338,SEC,23,9,17.61,15,19.89,-2.28,2024-03-18
13,North Carolina,338,ACC,27,7,20.98,7,13.25,7.74,2024-03-18
14,Wisconsin,336,Big Ten,22,13,16.8,0,8.58,8.22,2024-03-18
15,San Diego State,335,-,24,10,15.3,21,5.25,10.05,2024-03-18
16,Michigan State,334,Big Ten,19,14,17.89,0,4.39,13.5,2024-03-18
17,New Mexico,332,-,26,9,16.01,0,12.53,3.47,2024-03-18
18,Illinois,331,Big Ten,26,8,19.87,12,16.81,3.06,2024-03-18
19,Texas,331,Big 12,20,12,16.04,0,8.74,7.31,2024-03-18
20,Oklahoma,329,Big 12,20,12,15.15,0,7.06,8.1,2024-03-18
21,St. John's (NY),329,Big East,20,13,16.28,0,10.87,5.41,2024-03-18
22,Clemson,328,ACC,21,11,14.91,0,8.11,6.8,2024-03-18
23,Saint Mary's (CA),327,-,26,7,16.95,23,1.69,15.26,2024-03-18
24,Texas Tech,327,Big 12,23,10,15.97,0,8.04,7.94,2024-03-18
25,Villanova,327,Big East,18,15,14.78,0,2.41,12.38,2024-03-18
