Rank,TeamName,Score,Conference
1,Houston,348,Big 12
2,UCLA,348,-
3,Connecticut,347,Big East
4,Alabama,346,SEC
5,Gonzaga,346,-
6,Purdue,346,Big Ten
7,Texas,345,Big 12
8,Baylor,344,Big 12
9,Tennessee,344,SEC
10,San Diego State,342,-
11,Saint Mary's (CA),341,-
12,Arizona,339,-
13,Kansas,338,Big 12
14,West Virginia,337,Big 12
15,Arkansas,336,SEC
16,Creighton,335,Big East
17,Kansas State,335,Big 12
18,Xavier,334,Big East
19,Kentucky,333,SEC
20,Miami (FL),332,ACC
21,Michigan State,332,Big Ten
22,Marquette,331,Big East
23,Florida Atlantic,330,-
24,Virginia,330,ACC
25,North Carolina,327,ACC
26,Iowa State,326,Big 12
27,Auburn,325,SEC
28,Duke,325,ACC
29,Maryland,325,Big Ten
30,Oregon,325,-
31,TCU,322,Big 12
32,Michigan,321,Big Ten
33,Wisconsin,321,Big Ten
34,Penn State,317,Big Ten
35,Indiana,315,Big Ten
36,Northwestern,314,Big Ten
37,Illinois,313,Big Ten
38,Oklahoma State,313,Big 12
39,Texas Tech,313,Big 12
40,Rutgers,311,Big Ten
41,Utah State,311,-
42,Southern California,310,-
43,Memphis,308,-
44,Iowa,307,Big Ten
45,Providence,307,Big East
46,Texas A&M,306,SEC
47,Ohio State,304,Big Ten
48,Oklahoma,303,Big 12
49,Arizona State,299,-
50,Central Florida,299,Big 12
51,Mississippi State,299,SEC
52,NC State,299,ACC
53,Oral Roberts,299,-
54,Missouri,298,SEC
55,Boise State,297,-
56,Utah,297,-
57,Clemson,296,ACC
58,Villanova,296,Big East
59,Cincinnati,295,Big 12
60,Washington State,295,-
61,Seton Hall,293,Big East
62,Vanderbilt,293,SEC
63,Florida,289,SEC
64,UAB,289,-
65,Colorado,288,-
66,Nevada,288,-
67,New Mexico,288,-
68,Pittsburgh,287,ACC
69,Dayton,285,-
70,Santa Clara,283,-
71,Iona,282,-
72,Virginia Commonwealth,282,-
73,Stanford,279,-
74,Princeton,278,-
75,Virginia Tech,275,ACC
76,Drake,274,-
77,Sam Houston,274,-
78,Brigham Young,273,Big 12
79,Utah Valley,273,-
80,St. John's (NY),272,Big East
81,Nevada-Las Vegas,271,-
82,Butler,270,Big East
83,Washington,269,-
84,Wake Forest,268,ACC
85,San Jose State,266,-
86,Yale,266,-
87,Bradley,265,-
88,Liberty,265,-
89,Nebraska,265,Big Ten
90,College of Charleston,263,-
91,Kent State,263,-
92,Marshall,261,-
93,Loyola Marymount,258,-
94,Saint Louis,258,-
95,Hofstra,256,-
96,Wichita State,254,-
97,Grand Canyon,252,-
98,Charlotte,251,-
99,Mississippi,250,SEC
100,San Francisco,250,-
101,Tulane,250,-
102,Toledo,249,-
103,James Madison,248,-
104,Furman,246,-
105,Southern Utah,245,-
106,Colorado State,244,-
107,Akron,243,-
108,UC Irvine,241,-
109,Syracuse,240,ACC
110,Louisiana,238,-
111,Indiana State,237,-
112,UC Santa Barbara,237,-
113,Duquesne,236,-
114,Middle Tennessee,235,-
115,Louisiana State,234,SEC
116,South Alabama,234,-
117,Georgia,233,SEC
118,Georgia Tech,231,ACC
119,Hawaii,230,-
120,George Mason,229,-
121,Notre Dame,228,ACC
122,Southern Mississippi,228,-
123,Air Force,227,-
124,Davidson,227,-
125,Temple,227,-
126,Vermont,225,-
127,Cal State Fullerton,223,-
128,Fordham,223,-
129,Fresno State,222,-
130,Montana State,221,-
131,Richmond,221,-
132,Colgate,218,-
133,South Florida,218,-
