Ranking,TeamName,Score,Conference
1,Houston,354,Big 12
2,Iowa State,351,Big 12
3,Purdue,351,Big Ten
4,Arizona,349,-
5,North Carolina,348,ACC
6,Tennessee,348,SEC
7,Alabama,347,SEC
8,Connecticut,347,Big East
9,Kentucky,346,SEC
10,Utah,346,-
11,Baylor,345,Big 12
12,Florida Atlantic,345,-
13,Illinois,345,Big Ten
14,Duke,342,ACC
15,San Diego State,342,-
16,Wisconsin,342,Big Ten
17,Marquette,341,Big East
18,Auburn,340,SEC
19,Brigham Young,337,Big 12
20,Colorado State,336,-
21,Kansas,336,Big 12
22,Clemson,334,ACC
23,Michigan State,332,Big Ten
24,Villanova,332,Big East
25,Dayton,327,-
26,Creighton,326,Big East
27,Ohio State,326,Big Ten
28,Texas A&M,326,SEC
29,Colorado,325,-
30,Miami (FL),325,ACC
31,Oklahoma,325,Big 12
32,Cincinnati,324,Big 12
33,New Mexico,324,-
34,Oregon,324,-
35,Saint Mary's (CA),323,-
36,Gonzaga,322,-
37,Texas,321,Big 12
38,Utah State,321,-
39,Memphis,319,-
40,Mississippi State,319,SEC
41,Virginia,319,ACC
42,St. John's (NY),318,Big East
43,Florida,317,SEC
44,Pittsburgh,316,ACC
45,Princeton,315,-
46,Texas Tech,315,Big 12
47,Nevada,314,-
48,Providence,311,Big East
49,TCU,310,Big 12
50,Indiana State,309,-
51,South Carolina,308,SEC
52,Wake Forest,308,ACC
53,Butler,307,Big East
54,Kansas State,307,Big 12
55,McNeese State,307,-
56,Xavier,307,Big East
57,Nebraska,303,Big Ten
58,Washington,303,-
59,Michigan,302,Big Ten
60,Washington State,302,-
61,Central Florida,300,Big 12
62,James Madison,300,-
63,Boise State,299,-
64,Grand Canyon,299,-
65,Arkansas,298,SEC
66,San Francisco,295,-
67,Syracuse,295,ACC
68,St. Bonaventure,292,-
69,Virginia Tech,290,ACC
70,Boston College,287,ACC
71,Iowa,285,Big Ten
72,North Texas,285,-
73,Northwestern,284,Big Ten
74,Seton Hall,284,Big East
75,NC State,282,ACC
76,Mississippi,281,SEC
77,Saint Joseph's,281,-
78,Southern Illinois,281,-
79,Minnesota,280,Big Ten
80,Drake,278,-
81,Georgia,278,SEC
82,Massachusetts,278,-
83,Stanford,278,-
